"importProduktId","shopName","CATEGORYTEXT","shopId","PRODUCT","PRODUCTNAME","ITEM_ID","URL","PRICE_VAT","EAN","suggestEan","suggestProductName","suggestCategoryTree","suggestPriceMin","suggestPriceMax","suggestProductUrl"
"2514062175","Premiumstore.sk","Profesionálna audio technika | Pódium, diskotéka, DJ | transportné kufre a racky | Príslušenstvo k transportným kufrom a rackom","4603","Neutrik NE-8FDXY6B EtherCon panelová samica","","MON_NE-8FDXY6B","https://www.premiumstore.sk/neutrik-ne-8fdxy6b-ethercon-panelova-samica/","35.9","7613187009303","","","","","",""
"2514071279","Premiumstore.sk","Bezpečnosť a smart domácnosť | Kamerové systémy | PRÍSLUŠENSTVO | Držiaky","4603","CP PLUS CP-PR-45 Přídavná montážní propojovací krabice (134mm)","","AT_CP-PR-45","https://www.premiumstore.sk/cp-plus-cp-pr-45-pridavna-montazni-propojovaci-krabice--134mm-/","28","","","","","","",""
"2517583021","Premiumstore.sk","Heureka.sk | Hračky | Detské autá a doprava | RC modely a príslušenstvo | Káble a konektory pre RC modely","4603","Behringer GLC2-1000","","BAS_BASYS-GLC2-1000","https://www.premiumstore.sk/behringer-glc2-1000/","25","","","","","","",""
"2514060968","Premiumstore.sk","Heureka.sk | Šport a outdoor | Športy | Strelecké sporty | Lukostreľba | Luky a príslušenstvo | Náhradné diely a doplnky k lukom","4603","Virtuálny radiač Cycplus BC2 pre T2/T3","","089363","https://www.premiumstore.sk/virtualny-radiac-cycplus-bc2-pre-t2-t3/","19","6976297860822","","","","","",""
"2514081936","Premiumstore.sk","Heureka.sk | Elektronika | TV, audio, video | Príslušenstvo k TV, audio-video | Príslušenstvo k TV | Antény | Satelitné antény","4603","Console Konzola na anténní síto II","","AT_V002","https://www.premiumstore.sk/konzola-na-antenni-sito-ii/","15","8595225200035","","","","","",""
"2514059493","Premiumstore.sk","Heureka.sk | Elektronika | Počítače a notebooky | Tlačiarne a príslušenstvo | Náplne a farby do tlačiarní | Tlačové struny","4603","Vlákno Sunlu PLA+ Silk (Rainbow 01)","","085204","https://www.premiumstore.sk/vlakno-sunlu-pla--silk--rainbow-01/","20","6933582315535","","","","","",""
"2514062641","Premiumstore.sk","Profesionálna audio technika | Svetlá | Statívy a príslušenstvo pre svetlá","4603","Evoli ARCHITPOWEXT5M Lighting Accessories","","MON_ARCHITPOWEXT5M","https://www.premiumstore.sk/evoli-architpowext5m-lighting-accessories/","29.9","3700752716057","","","","","",""
"2514072620","Premiumstore.sk","Domáce spotrebiče | Malé spotrebiče | Vzduchotechnika | Vykurovanie","4603","DREAM HEAT NOHY S KOLEČKY pro model CC 360 / 480 / 600 / 720 /2 ks/","","AT_NOHYDREAMHEAT360","https://www.premiumstore.sk/dream-heat-nohy-s-kolecky-pro-model-cc-360-480-600-720--2-ks/","52.5","","","","","","",""
"2514081315","Premiumstore.sk","Heureka.sk | Dielňa, stavba, záhrada | Stavba | Fotovoltaika | Fotovoltaické a solárne panely","4603","Xtend Solarmi Kabelová střešní průchodka s MC4 konektory, černá - DOUBLE","","AT_ABT-A500009315","https://www.premiumstore.sk/kabelova-stresni-pruchodka-s-mc4-konektory--cerna-double/","14.5","8594199732825","","","","","",""
"2517583074","Premiumstore.sk","Heureka.sk | Elektronika | TV, audio, video | Slúchadlá","4603","MEZE AUDIO Elite & Empyrean upgrade kábel 4,4 mm, postriebrený","","BAS_BASYS-MEM-S4_4","https://www.premiumstore.sk/meze-audio-elite-empyrean-upgrade-kabel-4-4-mm--postriebreny/","419","","","","","","",""
