date,product_card_id,on_bidded_position,satellite_name,click_source,shop_item_id,shop_item_name,portal_category_id,portal_category_name,portal_category_tree,visits_total,visits_free,visits_bidded,visits_not_bidded,costs_with_vat_total,costs_with_vat_bidded,costs_with_vat_not_bidded,costs_without_vat_total,costs_without_vat_bidded,costs_without_vat_not_bidded,orders_total,orders_free,orders_bidded,orders_not_bidded,revenue_total,revenue_free,revenue_bidded,revenue_not_bidded
2026-08-17,550844496,false,,product_detail,KB_100001771960,YAMAHA TW-E5B GRAY,709,Slúchadlá,"Elektronika>TV, audio, video>Slúchadlá",1,0,0,1,0.304,0,0.304,0.251,0,0.251,0,0,0,0,0,0,0,0
2026-08-17,489979529,false,,product_detail,KB_100001368619,Yamaha YHT-4960 BLACK,705,Reprosústavy a reproduktory,"Elektronika>TV, audio, video>Reproduktory, soundbary>Reprosústavy a reproduktory",1,0,0,1,0.38,0,0.38,0.314,0,0.314,0,0,0,0,0,0,0,0
2026-08-17,782090972,false,,product_detail,KB_100002201645,EDIFIER T5s subwoofer hnědý,2115,Subwoofery,"Elektronika>TV, audio, video>Hi-Fi komponenty>Subwoofery",1,0,0,1,0.258,0,0.258,0.213,0,0.213,0,0,0,0,0,0,0,0
2026-08-17,776640918,false,,product_detail,082890,Cycplus L7 zadné svetlo na bicykel s radarom,2379,Svetlá na bicykel,Šport a outdoor>Športy>Cyklistika>Príslušenstvo na bicykel>Svetlá na bicykel,1,0,0,1,0.189,0,0.189,0.156,0,0.156,0,0,0,0,0,0,0,0
2026-08-17,663392355,false,,product_detail,KB_100001947365,CANON PIXMA G3430 Black,761,Multifunkčné zariadenia,Elektronika>Počítače a notebooky>Tlačiarne a príslušenstvo>Multifunkčné zariadenia,1,0,0,1,0.404,0,0.404,0.334,0,0.334,0,0,0,0,0,0,0,0
2026-08-17,693490475,false,,product_detail,065088,Cycplus M2 bicycle computer,5999,Tachometre na bicykel,Šport a outdoor>Športy>Cyklistika>Príslušenstvo na bicykel>Tachometre na bicykel,1,0,0,1,0.133,0,0.133,0.11,0,0.11,0,0,0,0,0,0,0,0
2026-08-17,308779288,false,,product_detail,KB_100001826385,AKAI AS005RA-750B Zesilovač 5.1,805,Zosilňovače,"Elektronika>TV, audio, video>Hi-Fi komponenty>Zosilňovače",1,0,0,1,0.296,0,0.296,0.245,0,0.245,0,0,0,0,0,0,0,0
2026-08-17,751037025,false,,product_detail,KB_100002134244,Gorenje NRR9185DABXL,1041,Chladničky,Veľké spotrebiče>Spotrebiče do kuchyne>Chladenie a mrazenie>Chladničky,1,0,0,1,0.564,0,0.564,0.466,0,0.466,0,0,0,0,0,0,0,0
2026-08-17,339964709,false,,product_detail,BAS_BASYS-TC_000-CPP00,TC Electronic Teleport GLR active DI reciever for guitar,2007,Príslušenstvo pre gitary,Hobby>Hudobniny>Hudobné nástroje>Strunové nástroje>Príslušenstvo pre gitary,1,0,0,1,0.246,0,0.246,0.203,0,0.203,0,0,0,0,0,0,0,0
2026-08-17,678651853,false,,product_detail,KB_100002074756,Candy CFT610/5S/1/4U,963,Digestory,Veľké spotrebiče>Spotrebiče do kuchyne>Varenie a ohrievanie>Digestory,1,0,0,1,0.339,0,0.339,0.28,0,0.28,0,0,0,0,0,0,0,0
2026-08-17,563587671,false,,product_detail,KB_100002065154,JBL Boombox 3 BLACK,5948,Bluetooth reproduktory,"Elektronika>TV, audio, video>Reproduktory, soundbary>Bluetooth reproduktory",2,0,0,2,0.796,0,0.796,0.658,0,0.658,0,0,0,0,0,0,0,0
