Segment,Kategória,Názov produktu,ID Produktu,Výrobca,EAN,Item ID,Vaša URL,Heureka URL,E-shopov predávajúcich produkt,Popularita,Vaša cena,Vaša pozícia podľa ceny,Vaša pozícia podľa biddingu,Cena za preklik,Najnižšia cena,PriceMin2,PriceMin3,PriceMin4,PriceMin5,PriceMin6,PriceMin7,PriceMin8,PriceMin9,PriceMin10,PriceMax10,PriceMax9,PriceMax8,PriceMax7,PriceMax6,PriceMax5,PriceMax4,PriceMax3,PriceMax2,Najvyššia cena
"Auto-moto","Alkohol testery","Solight 1T09",808017114,"Solight",8592718044176,"SOL_1T09","https://www.premiumstore.sk/solight-alkohol-tester-mini--fuel-cell--0-0-5-0--bac-citlivost-0-08-/","https://alkohol-testery.heureka.sk/solight-1t09",11,80,41.90,1,2.0,0.244,41.90,42.21,42.22,48.54,49.75,60.02,60.99,65.18,74.90,74.90,42.21,42.22,48.54,49.75,60.02,60.99,65.18,74.90,74.90,79.96,
"Auto-moto","Alkohol testery","Solight alkohol tester profesionálny, Fuel Cell, 0,00 - 4,00‰ BAC, citlivosť 0,08‰",219645816,"Solight",8592718018948,"SOL_1T06","https://www.premiumstore.sk/solight-alkohol-tester-profesionalny--fuel-cell--0-00-4-00--bac--citlivost-0-08-/","https://alkohol-testery.heureka.sk/solight-1t06",24,116,48.50,1,2.0,0.261,48.50,49.00,52.00,55.90,56.63,56.63,57.97,57.97,57.99,59.10,69.99,69.99,74.41,74.95,80.84,82.26,82.41,83.96,91.90,91.90,
"Auto-moto","Alkohol testery","Solight alkohol tester, 0,0 - 1,5‰ BAC, citlivosť 0,2‰",219645817,"Solight",8592718018955,"SOL_1T07","https://www.premiumstore.sk/solight-alkohol-tester--0-0-1-5--bac--citlivost-0-2-/","https://alkohol-testery.heureka.sk/solight-1t07",23,124,16.50,1,2.0,0.161,16.50,16.69,17.59,17.59,17.90,18.00,18.46,20.28,20.50,21.00,22.89,24.78,24.83,25.40,26.95,28.04,28.76,29.15,31.90,31.90,
"Auto-moto","Alkohol testery","Solight alkohol tester, 0,0 - 3,0‰ BAC, přesnosť 0,1‰",11979768,"Solight",8592718029272,"SOL_1T04A","https://www.premiumstore.sk/solight-alkohol-tester--0-0-3-0--bac--presnost-0-1-/","https://alkohol-testery.heureka.sk/solight-1t04",19,74,32.90,1,2.0,0.216,32.90,33.48,33.48,33.90,34.28,34.28,35.14,35.49,36.99,41.96,41.96,41.99,44.00,44.99,45.24,47.97,49.70,52.50,64.90,64.90,
"Auto-moto","Alkohol testery","Solight profesionálny bezkontaktný alkohol tester, Fuel Cell, 0,0 - 5,0‰ BAC,citlivosť 0,08‰",808596616,"Solight",8592718044169,"SOL_1T08","https://www.premiumstore.sk/solight-profesionalny-bezkontaktny-alkohol-tester--fuel-cell--0-0-5-0--bac-citlivost-0-08-/","https://alkohol-testery.heureka.sk/solight-1t08",15,32,51.50,1,2.0,0.261,51.50,51.90,52.58,52.58,53.83,55.17,56.66,57.54,62.20,62.99,55.17,56.66,57.54,62.20,62.99,69.20,73.99,74.99,83.90,85.96,
"Auto-moto","Auto antény","Telkom Telmor Anténny konektor IEC GNI0255.1",842876222,"Solight",8595092115449,"SOL_SSN5500E","https://www.premiumstore.sk/solight-antenny-coax-konektor-priamy-typ-taliansko--10ks--sacok/","https://auto-anteny.heureka.sk/solight-antenny-coax-konektor-priamy-typ-taliansko-10ks-sacok",1,1,5.10,1,,0.070,5.10,,,,,,,,,,,,,,,,,,,5.10,
"Auto-moto","Autoalarmy","Diaľkové ovládanie SwitchBot Remote",702656922,"SwitchBot",850007706074,"041450","https://www.premiumstore.sk/dialkove-ovladanie-switchbot-remote/","https://autoalarmy.heureka.sk/switchbot-dalkove-ovladani-switchbot-remote",3,2,11.90,1,,0.074,11.90,12.88,14.50,,,,,,,,,,,,,,,11.90,12.88,14.50,
"Auto-moto","Autodiagnostiky","Ancel AD410 PRO",725082437,"ANCEL",5906168432965,"069080","https://www.premiumstore.sk/2in1-diagnostic-scanner-obd2-and-battery-tester-ancel-ad410-pro/","https://autodiagnostiky.heureka.sk/ancel-ad410-pro",5,9,48.90,1,1.5,0.261,48.90,52.00,59.53,61.95,69.90,,,,,,,,,,,48.90,52.00,59.53,61.95,69.90,
"Auto-moto","Autodiagnostiky","Ancel AD530",724331355,"ANCEL",5906168439100,"069087","https://www.premiumstore.sk/diagnostic-scanner-obd2-ancel-ad530/","https://autodiagnostiky.heureka.sk/ancel-ad530",6,53,58.50,1,1.0,0.268,58.50,74.50,79.64,82.17,99.90,102.95,,,,,,,,,58.50,74.50,79.64,82.17,99.90,102.95,
"Auto-moto","Autodiagnostiky","Ancel AS100/AC100",724331353,"ANCEL",5906168439131,"069084","https://www.premiumstore.sk/diagnostic-scanner-obd2-ancel-as100-ac100/","https://autodiagnostiky.heureka.sk/ancel-as100-ac100",8,41,17.50,1,2.0,0.161,17.50,18.66,20.88,22.50,24.63,39.00,39.90,40.95,,,,,17.50,18.66,20.88,22.50,24.63,39.00,39.90,40.95,
"Auto-moto","Autodiagnostiky","Ancel BA201",738256018,"ANCEL",5906168432972,"069364","https://www.premiumstore.sk/battery-tester-ancel-ba201-8-16v-dc/","https://autodiagnostiky.heureka.sk/ancel-ba201",6,3,53.50,1,1.5,0.261,53.50,56.79,61.95,65.05,67.69,69.90,,,,,,,,,53.50,56.79,61.95,65.05,67.69,69.90,
"Auto-moto","Autodiagnostiky","ANCEL DS600 BT – profesionálny diagnostický skener OBD2",841139943,"ANCEL",6978281190434,"087772","https://www.premiumstore.sk/ancel-ds600-bt---profesionalny-diagnosticky-skener-obd2/","https://autodiagnostiky.heureka.sk/ancel-ds600",4,3,586.50,3,1.5,0.446,529.95,569.96,586.50,687.00,,,,,,,,,,,,,529.95,569.96,586.50,687.00,
"Auto-moto","Autodiagnostiky","ANCEL L5000 PRO – diagnostický detektor únikov pre automobilové systémy",849288958,"ANCEL",6978281190588,"087781","https://www.premiumstore.sk/ancel-l5000-pro---diagnosticky-detektor-unikov-pre-automobilove-systemy/","https://autodiagnostiky.heureka.sk/ancel-l5000",3,1,278.00,1,1.5,0.331,278.00,295.21,349.00,,,,,,,,,,,,,,,278.00,295.21,349.00,
"Auto-moto","Autodiagnostiky","Battery Tester Ancel BA101 8-30V DC",738256017,"ANCEL",5906168439162,"069079","https://www.premiumstore.sk/battery-tester-ancel-ba101-8-30v-dc/","https://autodiagnostiky.heureka.sk/ancel-ba101",5,6,43.50,1,1.5,0.244,43.50,43.78,48.95,52.93,54.50,,,,,,,,,,,43.50,43.78,48.95,52.93,54.50,
"Auto-moto","Autodiagnostiky","Diagnostický skener ANCEL DS600 ELITE OBD2",841139943,"ANCEL",6978281190540,"087773","https://www.premiumstore.sk/diagnosticky-skener-ancel-ds600-elite-obd2/","https://autodiagnostiky.heureka.sk/ancel-ds600",4,3,547.00,2,1.5,0.442,529.95,547.00,569.96,687.00,,,,,,,,,,,,,529.95,547.00,569.96,687.00,
"Auto-moto","Autodiagnostiky","Diagnostický skener OBD2 Ancel BM700",791854137,"ANCEL",608410128231,"077724","https://www.premiumstore.sk/diagnosticky-skener-obd2-ancel-bm700/","https://autodiagnostiky.heureka.sk/ancel-bm700",9,8,95.00,1,1.5,0.289,95.00,101.08,104.23,107.53,115.75,117.00,119.20,125.05,137.95,,,95.00,101.08,104.23,107.53,115.75,117.00,119.20,125.05,137.95,
"Auto-moto","Autodiagnostiky","Diagnostický skener OBD2 Ancel BZ700",794282195,"ANCEL",602938441797,"077725","https://www.premiumstore.sk/diagnosticky-skener-obd2-ancel-bz700/","https://autodiagnostiky.heureka.sk/ancel-bz700",7,32,90.90,1,1.5,0.289,90.90,95.58,109.96,119.00,125.05,129.95,149.90,,,,,,,90.90,95.58,109.96,119.00,125.05,129.95,149.90,
"Auto-moto","Autodiagnostiky","Diagnostický skener pre motocykle ANCEL MT100 PRO",802012691,"ANCEL",6978281190519,"087780","https://www.premiumstore.sk/diagnosticky-skener-pre-motocykle-ancel-mt100-pro/","https://autodiagnostiky.heureka.sk/ancel-mt100",7,6,145.00,6,1.5,0.305,99.92,114.41,115.14,119.00,125.05,145.00,157.95,,,,,,,99.92,114.41,115.14,119.00,125.05,145.00,157.95,
"Auto-moto","Autodiagnostiky","Diagnostický skener pre motocykle ANCEL MT310",833191004,"ANCEL",6978281190533,"087778","https://www.premiumstore.sk/diagnosticky-skener-pre-motocykle-ancel-mt310/","https://autodiagnostiky.heureka.sk/ancel-mt310",4,3,289.90,2,1.5,0.338,282.95,289.90,305.21,377.00,,,,,,,,,,,,,282.95,289.90,305.21,377.00,
"Auto-moto","Autodiagnostiky","Diagnostický skener pre motocykle BMW ANCEL MT300",849288956,"ANCEL",6978281190526,"087779","https://www.premiumstore.sk/diagnosticky-skener-pre-motocykle-bmw-ancel-mt300/","https://autodiagnostiky.heureka.sk/ancel-mt300",3,1,155.50,1,1.5,0.305,155.50,166.38,199.00,,,,,,,,,,,,,,,155.50,166.38,199.00,
"Auto-moto","Autodiagnostiky","Štartér motora ANCEL BS200",849288954,"ANCEL",6978281190564,"087777","https://www.premiumstore.sk/starter-motora-ancel-bs200/","https://autodiagnostiky.heureka.sk/ancel-bs200",3,1,114.50,1,1.5,0.305,114.50,121.96,149.00,,,,,,,,,,,,,,,114.50,121.96,149.00,
"Auto-moto","Autodiagnostiky","Tester obvodov Ancel PB500",839673942,"ANCEL",6978281190052,"077721","https://www.premiumstore.sk/tester-obvodov-ancel-pb500/","https://autodiagnostiky.heureka.sk/ancel-pb500",4,1,78.00,1,1.5,0.283,78.00,94.27,109.90,123.95,,,,,,,,,,,,,78.00,94.27,109.90,123.95,
"Auto-moto","Autonavijaky","Besen BS20 22 kW APP – nástenná nabíjačka pre elektromobily",852224589,"BESEN",5906168438783,"069530","https://www.premiumstore.sk/besen-bs20-22-kw-app---nastenna-nabijacka-pre-elektromobily/","https://autonavijaky.heureka.sk/besen-bs20-22-kw-app-nastenna-nabijacka-pre-elektromobily_2",1,1,357.90,1,,0.374,357.90,,,,,,,,,,,,,,,,,,,357.90,
