"Requested_prod_id","Requested_GTIN(EAN/UPC)","Requested_Icecat_id","ErrorMessage","Supplier","Prod_id","Icecat_id","GTIN(EAN/UPC)","Category","CatId","ProductFamily","ProductSeries","Model","Updated","Quality","On_Market","Product_Views","HighPic","HighPic Resolution","LowPic","Pic500x500","ThumbPic","Folder_PDF","Folder_Manual_PDF","ProductTitle","ShortDesc","ShortSummaryDescription","LongSummaryDescription","LongDesc","Short Marketing Text","SEO Title","SEO Description","SEO Keywords","ProductGallery","ProductGallery Resolution","ProductGallery ExpirationDate","360","EU Energy Label","EU Product Fiche","PDF","Video/mp4","Other Multimedia","ProductMultimediaObject ExpirationDate","ReasonsToBuy","Bullet Points","Variant_prod_id","Variant_GTIN(EAN/UPC)","EPREL ID","Your product ID","Specs 1","Specs 2","Specs 3","Specs 4","Specs 5","Specs 6","Specs 7","Specs 8","Specs 9","Specs 10","Specs 11","Specs 12","Specs 13","Specs 14","Specs 15","Specs 16","Specs 17","Specs 18","Specs 19","Specs 20","Specs 21","Specs 22","Specs 23","Specs 24","Specs 25","Specs 26","Specs 27","Specs 28","Specs 29","Specs 30","Specs 31","Specs 32","Specs 33","Specs 34","Specs 35","Specs 36","Specs 37","Specs 38","Specs 39","Specs 40","Specs 41","Specs 42","Specs 43","Specs 44","Specs 45","Specs 46","Specs 47","Specs 48","Specs 49","Specs 50","Specs 51","Specs 52","Specs 53","Specs 54","Specs 55","Specs 56","Specs 57","Specs 58","Specs 59","Specs 60","Specs 61","Specs 62","Specs 63","Specs 64","Specs 65","Specs 66","Specs 67","Specs 68","Specs 69","Specs 70","Specs 71","Specs 72","Specs 73","Specs 74","Specs 75","Specs 76","Specs 77","Specs 78","Specs 79","Specs 80","Specs 81","Specs 82","Specs 83","Specs 84","Specs 85","Specs 86","Specs 87"
"","8595025370891","22639009","You are not allowed to access a Full Icecat repository with a free Open Icecat account. Please, check the manual or upgrade your account","Emos","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EMO1527000800","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","8595025370921","26961279","You are not allowed to access a Full Icecat repository with a free Open Icecat account. Please, check the manual or upgrade your account","Emos","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EMO1527001200","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","8595025392770","62777563","You are not allowed to access a Full Icecat repository with a free Open Icecat account. Please, check the manual or upgrade your account","Emos","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EMO2693000120","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","8595025314703","14593347","You are not allowed to access a Full Icecat repository with a free Open Icecat account. Please, check the manual or upgrade your account","Emos","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EMO2202003000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","4891199003769","20873632","You are not allowed to access a Full Icecat repository with a free Open Icecat account. Please, check the manual or upgrade your account","GP Batteries","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EMO1021047612","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","4016138520019","92860033","You are not allowed to access a Full Icecat repository with a free Open Icecat account. Please, check the manual or upgrade your account","VOLTCRAFT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","TIP-07760050","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","4029665106007","14101811","You are not allowed to access a Full Icecat repository with a free Open Icecat account. Please, check the manual or upgrade your account","Technoline","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","TIP-07840065","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","4029665889504","6047601","You are not allowed to access a Full Icecat repository with a free Open Icecat account. Please, check the manual or upgrade your account","Technoline","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","TIP-07840068","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","4891199011467","108956811","You are not allowed to access a Full Icecat repository with a free Open Icecat account. Please, check the manual or upgrade your account","GP Batteries","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EMO1021001115","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","4029665005195","52150046","You are not allowed to access a Full Icecat repository with a free Open Icecat account. Please, check the manual or upgrade your account","Technoline","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MS-WT 519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
