new_path;depth;product_count;merged_from_old_paths_count;old_paths
TV, audio a video > Audio technika > Audio technika – ostatné produkty;2;501;1;
TV, audio a video > Audio technika > Slúchadlá;2;492;7;"TV, audio a video > Audio technika > Slúchadlá; TV, audio a video > Audio technika > Slúchadlá > Bezdrôtové slúchadlá; TV, audio a video > Audio technika > Slúchadlá > Bezdrôtové slúchadlá > Náhlavné slúchadlá; TV, audio a video > Audio technika > Slúchadlá > Bezdrôtové slúchadlá > TWS slúchadlá; TV, audio a video > Audio technika > Slúchadlá > Drôtové slúchadlá; TV, audio a video > Audio technika > Slúchadlá > Príslušenstvo; TV, audio a video > Audio technika > Slúchadlá > True Bezdrôtové"
TV, audio a video > Diaľkové ovládače > Televízne ovládače;2;455;17;"TV, audio a video > Diaľkové ovládače > Televízne ovládače; TV, audio a video > Diaľkové ovládače > Televízne ovládače > Changhong; TV, audio a video > Diaľkové ovládače > Televízne ovládače > ECG; TV, audio a video > Diaľkové ovládače > Televízne ovládače > Finlux; TV, audio a video > Diaľkové ovládače > Televízne ovládače > Gogen; TV, audio a video > Diaľkové ovládače > Televízne ovládače > Hitachi; TV, audio a video > Diaľkové ovládače > Televízne ovládače > Hyundai; TV, audio a video > Diaľkové ovládače > Televízne ovládače > LG; TV, audio a video > Diaľkové ovládače > Televízne ovládače > Orava; TV, audio a video > Diaľkové ovládače > Televízne ovládače > Panasonic; TV, audio a video > Diaľkové ovládače > Televízne ovládače > Philips; TV, audio a video > Diaľkové ovládače > Televízne ovládače > Samsung; TV, audio a video > Diaľkové ovládače > Televízne ovládače > Sencor; TV, audio a video > Diaľkové ovládače > Televízne ovládače > Sharp; TV, audio a video > Diaľkové ovládače > Televízne ovládače > Sony; TV, audio a video > Diaľkové ovládače > Televízne ovládače > Telefunken; TV, audio a video > Diaľkové ovládače > Televízne ovládače > Toshiba"
Šport, hračky a voľný čas > Posilňovanie a fitness – vybavenie;1;393;1;
Auto-moto > Vybavenie auta > Stierače;2;336;9;"Auto-moto > Vybavenie auta > Stierače; Auto-moto > Vybavenie auta > Stierače > Gumičky stieračov; Auto-moto > Vybavenie auta > Stierače > HELLA Cleantech; Auto-moto > Vybavenie auta > Stierače > Klasické kovové; Auto-moto > Vybavenie auta > Stierače > Ploché FLAT Flexi; Auto-moto > Vybavenie auta > Stierače > Ploché FLAT Multi; Auto-moto > Vybavenie auta > Stierače > Sady stieračov FLAT SET; Auto-moto > Vybavenie auta > Stierače > Stierače BULK; Auto-moto > Vybavenie auta > Stierače > Stierače zadního okna"
Mobily, smart hodinky a tablety > Príslušenstvo > Puzdrá na mobilné telefóny;2;312;1;
Auto-moto > Garáž, Dielňa, Servis > Špeciálne náradie a prípravky;2;310;19;"Auto-moto > Garáž, Dielňa, Servis > Špeciálne náradie a prípravky; Auto-moto > Garáž, Dielňa, Servis > Špeciálne náradie a prípravky > Brzdy; Auto-moto > Garáž, Dielňa, Servis > Špeciálne náradie a prípravky > Brzdy > Stlačováky brzdových pístů; Auto-moto > Garáž, Dielňa, Servis > Špeciálne náradie a prípravky > Interiér; Auto-moto > Garáž, Dielňa, Servis > Špeciálne náradie a prípravky > Motor; Auto-moto > Garáž, Dielňa, Servis > Špeciálne náradie a prípravky > Motor > Aretace; Auto-moto > Garáž, Dielňa, Servis > Špeciálne náradie a prípravky > Motor > Aretace > Audi; Auto-moto > Garáž, Dielňa, Servis > Špeciálne náradie a prípravky > Motor > Aretace > BMW; Auto-moto > Garáž, Dielňa, Servis > Špeciálne náradie a prípravky > Motor > Aretace > Opel; Auto-moto > Garáž, Dielňa, Servis > Špeciálne náradie a prípravky > Motor > Kľúče a prípravky; Auto-moto > Garáž, Dielňa, Servis > Špeciálne náradie a prípravky > Motor > Olej; Auto-moto > Garáž, Dielňa, Servis > Špeciálne náradie a prípravky > Motor > Olej > Misky, nádoby a lieviky; Auto-moto > Garáž, Dielňa, Servis > Špeciálne náradie a prípravky > Motor > Testery; Auto-moto > Garáž, Dielňa, Servis > Špeciálne náradie a prípravky > Ostatné prípravky; Auto-moto > Garáž, Dielňa, Servis > Špeciálne náradie a prípravky > Podvozek; Auto-moto > Garáž, Dielňa, Servis > Špeciálne náradie a prípravky > Podvozek > Heváky a zdviháky; Auto-moto > Garáž, Dielňa, Servis > Špeciálne náradie a prípravky > Podvozek > Heváky a zdviháky > Príslušenstvo k heverům; Auto-moto > Garáž, Dielňa, Servis > Špeciálne náradie a prípravky > Podvozek > Podstavce; Auto-moto > Garáž, Dielňa, Servis > Špeciálne náradie a prípravky > Podvozek > Sťahováky"
TV, audio a video > Diaľkové ovládače > Satelitné ovládače;2;276;14;"TV, audio a video > Diaľkové ovládače > Satelitné ovládače; TV, audio a video > Diaľkové ovládače > Satelitné ovládače > AB; TV, audio a video > Diaľkové ovládače > Satelitné ovládače > Amiko; TV, audio a video > Diaľkové ovládače > Satelitné ovládače > Ferguson; TV, audio a video > Diaľkové ovládače > Satelitné ovládače > Globo; TV, audio a video > Diaľkové ovládače > Satelitné ovládače > GoSat; TV, audio a video > Diaľkové ovládače > Satelitné ovládače > HD-BOX; TV, audio a video > Diaľkové ovládače > Satelitné ovládače > Octagon; TV, audio a video > Diaľkové ovládače > Satelitné ovládače > Opensat; TV, audio a video > Diaľkové ovládače > Satelitné ovládače > Optibox; TV, audio a video > Diaľkové ovládače > Satelitné ovládače > Opticum; TV, audio a video > Diaľkové ovládače > Satelitné ovládače > Strong; TV, audio a video > Diaľkové ovládače > Satelitné ovládače > Topfield; TV, audio a video > Diaľkové ovládače > Satelitné ovládače > Zircon"
Fotovoltaika a energie > Akumulátory a batérie > Príslušenstvo;2;271;10;"Fotovoltaika a energie > Akumulátory a batérie > Príslušenstvo; Fotovoltaika a energie > Akumulátory a batérie > Príslušenstvo > Očká, fastóny, dutinky, spojky; Fotovoltaika a energie > Akumulátory a batérie > Príslušenstvo > Očká, fastóny, dutinky, spojky > Fastónové konektory; Fotovoltaika a energie > Akumulátory a batérie > Príslušenstvo > Očká, fastóny, dutinky, spojky > Káblové dutinky; Fotovoltaika a energie > Akumulátory a batérie > Príslušenstvo > Očká, fastóny, dutinky, spojky > Káblové očká (konektory pre akumulátory); Fotovoltaika a energie > Akumulátory a batérie > Príslušenstvo > Očká, fastóny, dutinky, spojky > Káblové spojky (konektory); Fotovoltaika a energie > Akumulátory a batérie > Príslušenstvo > Očká, fastóny, dutinky, spojky > Káblové vidličky; Fotovoltaika a energie > Akumulátory a batérie > Príslušenstvo > Očká, fastóny, dutinky, spojky > Sady fastónov (konektorov); Fotovoltaika a energie > Akumulátory a batérie > Príslušenstvo > Očká, fastóny, dutinky, spojky > Svorky; Fotovoltaika a energie > Akumulátory a batérie > Príslušenstvo > Prepojovacie káble"
TV, audio a video > Antény a satelity > Konzoly, stožiare, uzemnenie;2;269;22;"TV, audio a video > Antény a satelity > Konzoly, stožiare, uzemnenie; TV, audio a video > Antény a satelity > Konzoly, stožiare, uzemnenie > Držiaky stožiarov; TV, audio a video > Antény a satelity > Konzoly, stožiare, uzemnenie > Držiaky stožiarov > Na stenu nastaviteľné; TV, audio a video > Antény a satelity > Konzoly, stožiare, uzemnenie > Držiaky stožiarov > Na stenu pevné; TV, audio a video > Antény a satelity > Konzoly, stožiare, uzemnenie > Držiaky stožiarov > Vlnky a objímky; TV, audio a video > Antény a satelity > Konzoly, stožiare, uzemnenie > Konzoly na stěnu; TV, audio a video > Antény a satelity > Konzoly, stožiare, uzemnenie > Konzoly na stěnu > Držiaky k oknu; TV, audio a video > Antény a satelity > Konzoly, stožiare, uzemnenie > Konzoly na stěnu > S T základnou; TV, audio a video > Antény a satelity > Konzoly, stožiare, uzemnenie > Konzoly so strmeňom; TV, audio a video > Antény a satelity > Konzoly, stožiare, uzemnenie > Konzoly so strmeňom > Na balkón (horizontálne); TV, audio a video > Antény a satelity > Konzoly, stožiare, uzemnenie > Konzoly so strmeňom > Na stožiar (vertikálne); TV, audio a video > Antény a satelity > Konzoly, stožiare, uzemnenie > Príslušenstvo k stožiarom; TV, audio a video > Antény a satelity > Konzoly, stožiare, uzemnenie > Spojovací a kotviaci materiál, chémia; TV, audio a video > Antény a satelity > Konzoly, stožiare, uzemnenie > Spojovací a kotviaci materiál, chémia > Izolačné pásky; TV, audio a video > Antény a satelity > Konzoly, stožiare, uzemnenie > Spojovací a kotviaci materiál, chémia > Sťahovacie pásky; TV, audio a video > Antény a satelity > Konzoly, stožiare, uzemnenie > Spojovací a kotviaci materiál, chémia > Vruty, hmoždinky; TV, audio a video > Antény a satelity > Konzoly, stožiare, uzemnenie > Stožiare a trojnožky; TV, audio a video > Antény a satelity > Konzoly, stožiare, uzemnenie > Stožiare a trojnožky > Jednodílné stožiare; TV, audio a video > Antény a satelity > Konzoly, stožiare, uzemnenie > Stožiare a trojnožky > Trojnožky na rovné střechy; TV, audio a video > Antény a satelity > Konzoly, stožiare, uzemnenie > Strmene a spojky; TV, audio a video > Antény a satelity > Konzoly, stožiare, uzemnenie > Uzemnenie, hromosvody; TV, audio a video > Antény a satelity > Konzoly, stožiare, uzemnenie > Uzemnenie, hromosvody > Zemniace svorky"
