id;parentId;parentUrl;expandInMenu;visible;priority;access;title;linkText;url;topDescription;bottomDescription;metaTitle;metaDescription;
"49470";"1";;"0";"1";"";"1";"Fotovoltika";"Fotovoltika";"fotovoltika";"";"";"";"";
"48936";"1";;"0";"1";"1";"1";"TV, audio a video";"TV, audio a video";"tv--audio-a-video";"";"";"";"";
"48150";"1";;"0";"0";"2";"1";"Druhy";"Druhy";"druhy";"";"";"";"";
"39423";"1";;"0";"1";"3";"1";"Domáce spotrebiče";"Domáce spotrebiče";"domace-spotrebice";"<p>Veľké aj malé spotrebiče do kuchyne a domácnosti. Pri vstavaných spotrebičoch (chladničky, umývačky) odporúčame pred kúpou skontrolovať presné rozmery v parametroch produktu – ušetríte si tak zbytočné meranie výklenku a prípadné vrátenie tovaru.</p>";"";"Domáce spotrebiče | PremiumStore.sk";"Chladničky, umývačky, práčky aj drobné spotrebiče do kuchyne. Overené značky, jasné parametre a rýchle dodanie na PremiumStore.sk.";
"48513";"1";;"0";"1";"4";"1";"Počítače a notebooky";"Počítače a notebooky";"pocitace-a-notebooky";"";"";"";"";
"39582";"1";;"0";"1";"5";"1";"Zdravie a starostlivosť";"Zdravie a starostlivosť";"zdravie-a-starostlivost";"<p>Starostlivosť o seba aj o svojich domácich miláčikov na jednom mieste – od zubných kefiek a pomôcok osobnej hygieny až po krmivo a doplnky pre zvieratá.</p>";"";"Zdravie a starostlivosť | PremiumStore.sk";"Osobná starostlivosť, zdravotnícke pomôcky aj potreby pre domácich miláčikov na jednom mieste. Nakupujte na PremiumStore.sk.";
"40119";"1";;"0";"1";"6";"1";"Bezpečnosť a smart domácnosť";"Bezpečnosť a smart domácnosť";"bezpecnost-a-smart-domacnost";"<p>Kamerové systémy, alarmy a inteligentné zariadenia, ktoré ustrážia váš domov aj vtedy, keď v ňom práve nie ste – a dajú sa jednoducho ovládať aj z telefónu.</p>";"";"Bezpečnosť a smart domácnosť | PremiumStore.sk";"Kamerové systémy, alarmy a inteligentné zariadenia pre bezpečný a smart domov. Vyberte si na PremiumStore.sk.";
"48543";"1";;"0";"1";"7";"1";"Mobily, smart hodinky a tablety";"Mobily, smart hodinky a tablety";"mobily--smart-hodinky-a-tablety";"";"";"";"";
"48585";"1";;"0";"1";"8";"1";"Foto a príslušenstvo";"Foto a príslušenstvo";"foto-a-prislusenstvo";"";"";"";"";
"40671";"1";;"0";"1";"9";"1";"Fotovoltaika a energie";"Fotovoltaika a energie";"fotovoltaika-a-energie";"<p>Meniče, batériové úložiská a solárne panely pre domácu fotovoltaiku – riešenia pre tých, ktorí chcú byť pri výrobe a spotrebe energie o niečo nezávislejší.</p>";"";"Fotovoltaika a energie | PremiumStore.sk";"Meniče, batériové úložiská a solárne panely pre domácu fotovoltaiku. Riešenia pre energetickú nezávislosť na PremiumStore.sk.";
"39717";"1";;"0";"1";"10";"1";"Elektroinštalačný materiál";"Elektroinštalačný materiál";"elektroinstalacny-material";"<p>Káble, ističe, zásuvky, svorky, prepojovacie lišty aj meracia technika – všetko, čo potrebujete pri elektroinštalácii v domácnosti, dielni aj priemysle, od overených výrobcov.</p>";"";"Elektroinštalačný materiál | PremiumStore.sk";"Káble, ističe, zásuvky, svorky aj meracia technika pre elektroinštaláciu v domácnosti aj priemysle. PremiumStore.sk – overené značky.";
"46839";"1";;"0";"1";"11";"1";"Profesionálna audio technika";"Profesionálna audio technika";"profesionalna-audio-technika";"<p>Ozvučenie, mixpulty, mikrofóny a ďalšia profesionálna audio technika pre podujatia, ozvučovacie firmy aj domáce štúdiá – vybavenie, na ktoré sa dá spoľahnúť aj pri nasadení každý víkend.</p>";"";"Profesionálna audio technika | PremiumStore.sk";"Ozvučenie, mixpulty, mikrofóny a profesionálna audio technika pre podujatia aj štúdiá. PremiumStore.sk.";
"39762";"1";;"0";"1";"12";"1";"Náradie a dielňa";"Náradie a dielňa";"naradie-a-dielna";"<p>Ručné aj akumulátorové náradie, brúsky, vŕtačky, skrutkovače a príslušenstvo do dielne – vybavenie pre bežných kutilov rovnako ako pre remeselníkov, ktorí ho používajú denne.</p>";"";"Náradie a dielňa | PremiumStore.sk";"Ručné aj akumulátorové náradie, brúsky, vŕtačky a príslušenstvo do dielne. Vybavenie pre kutilov aj profesionálov na PremiumStore.sk.";
"45756";"1";;"0";"1";"13";"1";"Dróny a RC modely";"Dróny a RC modely";"drony-a-rc-modely";"<p>Dróny na fotenie aj na zábavu, RC autá a modely pre začiatočníkov aj skúsených pilotov – vrátane náhradných dielov a príslušenstva, aby vám z prvého pádu neskončil koníček skôr, než poriadne začal.</p>";"";"Dróny a RC modely | PremiumStore.sk";"Dróny na fotenie aj zábavu, RC autá a modely vrátane náhradných dielov a príslušenstva. Pre začiatočníkov aj skúsených pilotov.";
"39789";"1";;"0";"1";"14";"1";"Záhrada";"Záhrada";"zahrada";"<p>Zavlažovacie systémy, záhradná technika a vybavenie okolo domu – všetko, čo si vaša záhrada zaslúži počas celej sezóny.</p>";"";"Záhrada | PremiumStore.sk";"Zavlažovanie, záhradná technika a vybavenie okolo domu. Kompletný sortiment pre záhradu na PremiumStore.sk.";
