id;parentId;parentUrl;expandInMenu;visible;priority;access;title;linkText;url;topDescription;bottomDescription;metaTitle;metaDescription
"41301";"39432";"male-spotrebice";"0";"0";"";"1";"Ostatné spotrebiče";"Ostatné spotrebiče";"ostatne-spotrebice";"";"";"Ostatné spotrebiče | PremiumStore.sk";"Ostatné spotrebiče v ponuke PremiumStore.sk. Prehľadné parametre, rýchle dodanie po celom Slovensku.";
"46551";"39432";"male-spotrebice";"0";"0";"";"1";"Čistenie";"Čistenie";"cistenie";"";"";"Čistenie | PremiumStore.sk";"Čistenie: široký sortiment a rýchle dodanie. Nájdite si ten pravý produkt na PremiumStore.sk.";
"46746";"39432";"male-spotrebice";"0";"0";"";"1";"Pre dieťa";"Pre dieťa";"pre-dieta";"";"";"Pre dieťa | PremiumStore.sk";"Pre dieťa v ponuke PremiumStore.sk. Prehľadné parametre, rýchle dodanie po celom Slovensku.";
"46755";"39432";"male-spotrebice";"0";"0";"";"1";"Mini chladničky";"Mini chladničky";"mini-chladnicky";"";"";"Mini chladničky | PremiumStore.sk";"Mini chladničky: široký sortiment a rýchle dodanie. Nájdite si ten pravý produkt na PremiumStore.sk.";
"47775";"39432";"male-spotrebice";"0";"0";"";"1";"Dezinfekčné lampy";"Dezinfekčné lampy";"dezinfekcne-lampy";"";"";"Dezinfekčné lampy | PremiumStore.sk";"Dezinfekčné lampy – veľký výber skladom, rýchle dodanie a výhodné ceny na PremiumStore.sk.";
"48117";"39432";"male-spotrebice";"0";"0";"";"1";"Płyty gazowe";"Płyty gazowe";"plyty-gazowe";"";"";"";"";
"39948";"39435";"priprava-napojov";"0";"0";"";"1";"Sirupy a fľaše pre výrobníky sódy";"Sirupy a fľaše pre výrobníky sódy";"sirupy-a-flase-pre-vyrobniky-sody";"";"";"Sirupy a fľaše pre výrobníky sódy | PremiumStore.sk";"Sirupy a fľaše pre výrobníky sódy v ponuke PremiumStore.sk. Prehľadné parametre, rýchle dodanie po celom Slovensku.";
"40707";"39435";"priprava-napojov";"0";"0";"";"1";"Čajová sitká";"Čajová sitká";"cajova-sitka";"";"";"Čajová sitká | PremiumStore.sk";"Čajová sitká skladom na PremiumStore.sk. Porovnajte parametre aj ceny a vyberte si presne to, čo potrebujete.";
"48066";"39441";"auto-moto";"0";"0";"";"1";"Vysielače do auta";"Vysielače do auta";"vysielace-do-auta-2";"";"";"";"";
"39969";"39441";"auto-moto";"0";"0";"2";"1";"GPS navigácie";"GPS navigácie";"gps-navigacie";"";"";"GPS navigácie | PremiumStore.sk";"GPS navigácie na PremiumStore.sk – overené produkty, výhodné ceny a odborné poradenstvo pri výbere.";
"43725";"39441";"auto-moto";"0";"0";"4";"1";"Nosiče bicyklov";"Nosiče bicyklov";"nosice-bicyklov";"";"";"Nosiče bicyklov | PremiumStore.sk";"Nosiče bicyklov na PremiumStore.sk – overené produkty, výhodné ceny a odborné poradenstvo pri výbere.";
"40713";"39441";"auto-moto";"0";"0";"5";"1";"Elektrovozidlá";"Elektrovozidlá";"elektrovozidla";"";"";"Elektrovozidlá | PremiumStore.sk";"Elektrovozidlá skladom na PremiumStore.sk. Porovnajte parametre aj ceny a vyberte si presne to, čo potrebujete.";
"41163";"39441";"auto-moto";"0";"0";"9";"1";"Karavany a obytné autá";"Karavany a obytná autá";"karavany-a-obytne-auta";"";"";"Karavany a obytná autá | PremiumStore.sk";"Karavany a obytná autá skladom na PremiumStore.sk. Porovnajte parametre aj ceny a vyberte si presne to, čo potrebujete.";
"42834";"39441";"auto-moto";"0";"0";"15";"1";"Prenosné chladničky";"Prenosné lednice";"prenosne-chladnicky";"";"";"Prenosné lednice | PremiumStore.sk";"Prenosné lednice – veľký výber skladom, rýchle dodanie a výhodné ceny na PremiumStore.sk.";
