id;parentId;depth;is_leaf;visible;full_path;url;direct_products;subtree_products;empty
48936;1;0;0;1;TV, audio a video;tv--audio-a-video;1;4109;0
48150;1;0;0;0;Druhy;druhy;0;0;1
39423;1;0;0;1;Domáce spotrebiče;domace-spotrebice;2;3287;0
48513;1;0;0;1;Počítače a notebooky;pocitace-a-notebooky;78;1495;0
39582;1;0;0;1;Zdravie a starostlivosť;zdravie-a-starostlivost;37;710;0
40119;1;0;0;1;Bezpečnosť a smart domácnosť;bezpecnost-a-smart-domacnost;2;1240;0
48543;1;0;0;1;Mobily, smart hodinky a tablety;mobily--smart-hodinky-a-tablety;38;1250;0
48585;1;0;0;1;Foto a príslušenstvo;foto-a-prislusenstvo;7;890;0
40671;1;0;0;1;Fotovoltaika a energie;fotovoltaika-a-energie;5;1498;0
39717;1;0;0;1;Elektroinštalačný materiál;elektroinstalacny-material;7;4840;0
46839;1;0;0;1;Profesionálna audio technika;profesionalna-audio-technika;19;2669;0
39762;1;0;0;1;Náradie a dielňa;naradie-a-dielna;22;2176;0
45756;1;0;0;1;Dróny a RC modely;drony-a-rc-modely;4;290;0
39789;1;0;0;1;Záhrada;zahrada;6;479;0
40212;1;0;0;1;Šport, hračky a voľný čas;sport--hracky-a-volny-cas;18;2355;0
39441;1;0;0;1;Auto-moto;auto-moto;28;2803;0
46347;1;0;0;1;Kreatívne technológie;kreativne-technologie;10;501;0
39426;39423;1;0;1;Domáce spotrebiče > Veľké spotrebiče;velke-spotrebice;0;356;0
39432;39423;1;0;1;Domáce spotrebiče > Malé spotrebiče;male-spotrebice;22;2735;0
39546;39423;1;0;1;Domáce spotrebiče > Vstavané spotrebiče;vstavane-spotrebice;0;194;0
39429;39426;2;1;1;Domáce spotrebiče > Veľké spotrebiče > Mikrovlnné rúry;mikrovlnne-rury;21;21;0
39774;39426;2;0;1;Domáce spotrebiče > Veľké spotrebiče > Práčky;pracky;0;91;0
39801;39426;2;0;1;Domáce spotrebiče > Veľké spotrebiče > Sporáky a rúry;sporaky-a-rury;14;24;0
39879;39426;2;0;1;Domáce spotrebiče > Veľké spotrebiče > Chladničky;chladnicky;17;114;0
39939;39426;2;0;1;Domáce spotrebiče > Veľké spotrebiče > Mrazničky;mraznicky;7;18;0
