id;name;indexName;description;webUrl;inMenu;inList;metaTitle;metaDescription;manufacturingCompanyName;postalAddress;contactEmail;europeanResellerManufacturingCompanyName;europeanResellerPostalAddress;europeanResellerContactEmail;
"1";"Suunto";"suunto";"";"";"0";"0";"";"";"";"";"";"";"";"";
"2";"Citizen";"citizen";"";"";"0";"0";"";"";"";"";"";"";"";"";
"3";"Rockport";"rockport";"";"";"0";"0";"";"";"";"";"";"";"";"";
"4";"Paul Green";"paul-green";"";"";"0";"0";"";"";"";"";"";"";"";"";
"5";"Fly London";"fly-london";"";"";"0";"0";"";"";"";"";"";"";"";"";
"6";"Bermuda";"bermuda";"";"";"0";"0";"";"";"";"";"";"";"";"";
"7";"Andie";"andie";"";"";"0";"0";"";"";"";"";"";"";"";"";
"8";"Elise";"elise";"";"";"0";"0";"";"";"";"";"";"";"";"";
"9";"Jamie";"jamie";"";"";"0";"0";"";"";"";"";"";"";"";"";
"10";"Oakley";"oakley";"";"";"0";"0";"";"";"";"";"";"";"";"";
"11";"Maui Jim";"maui-jim";"";"";"0";"0";"";"";"";"";"";"";"";"";
"12";"Ray-Ban";"ray-ban";"";"";"0";"0";"";"";"";"";"";"";"";"";
"13";"Seiko";"seiko";"";"";"0";"0";"";"";"";"";"";"";"";"";
"14";"Nike";"nike";"";"";"0";"0";"";"";"";"";"";"";"";"";
"15";"Livestrong";"livestrong";"";"";"0";"0";"";"";"";"";"";"";"";"";
"16";"Fila";"fila";"";"";"0";"0";"";"";"";"";"";"";"";"";
"17";"Columbia";"columbia";"";"";"0";"0";"";"";"";"";"";"";"";"";
"18";"North Face";"north-face";"";"";"0";"0";"";"";"";"";"";"";"";"";
"19";"Burton";"burton";"";"";"0";"0";"";"";"";"";"";"";"";"";
"20";"Pelle";"pelle";"";"";"0";"0";"";"";"";"";"";"";"";"";
"21";"Akademiks";"akademiks";"";"";"0";"0";"";"";"";"";"";"";"";"";
"22";"Hi Tec";"hi-tec";"";"";"0";"0";"";"";"";"";"";"";"";"";
"23";"Gola";"gola";"";"";"0";"0";"";"";"";"";"";"";"";"";
"24";"Storm";"storm";"";"";"0";"0";"";"";"";"";"";"";"";"";
"25";"Linteo";"linteo";"";"";"0";"0";"";"";"";"";"";"";"";"";
"27";"Cerver";"cerver";"";"";"0";"0";"";"";"";"";"";"";"";"";
"30";"Anabelle";"anabelle";"";"";"0";"0";"";"";"";"";"";"";"";"";
"33";"Nature";"nature";"";"";"0";"0";"";"";"";"";"";"";"";"";
"36";"RunForSeven";"runforseven";"";"";"0";"0";"";"";"";"";"";"";"";"";
"42";"RunForSeven";"runforseven-2";"";"";"0";"0";"";"";"";"";"";"";"";"";
"171";"Natura";"natura";"";"";"0";"0";"";"";"";"";"";"";"";"";
"213";"Protect Garden";"protect-garden";"";"";"0";"0";"";"";"";"";"";"";"";"";
"216";"Neudorff";"neudorff";"";"";"0";"0";"";"";"";"";"";"";"";"";
"324";"Nordel";"nordel";"";"";"0";"0";"";"";"";"";"";"";"";"";
"405";"Bestway";"bestway";"";"";"0";"0";"";"";"";"";"";"";"";"";
"468";"Agro";"agro";"";"";"0";"0";"";"";"";"";"";"";"";"";
"474";"Kristalon";"kristalon";"";"";"0";"0";"";"";"";"";"";"";"";"";
"489";"Lapp";"lapp";"";"";"0";"0";"";"";"";"";"";"";"";"";
"492";"Happy Green";"happy-green";"";"";"0";"0";"";"";"";"";"";"";"";"";
"504";"Roundup";"roundup";"";"";"0";"0";"";"";"";"";"";"";"";"";
"621";"Woodcraft";"woodcraft";"";"";"0";"0";"";"";"";"";"";"";"";"";
"645";"Maxlink";"maxlink";"";"";"0";"0";"";"";"";"";"";"";"";"";
"669";"2Kids Toys";"2kids-toys";"";"";"0";"0";"";"";"";"";"";"";"";"";
"705";"Oxe";"oxe";"";"";"0";"0";"";"";"";"";"";"";"";"";
"711";"Nous";"nous";"";"";"0";"0";"";"";"";"";"";"";"";"";
"795";"Arli";"arli";"";"";"0";"0";"";"";"";"";"";"";"";"";
"840";"Moveto";"moveto";"";"";"0";"0";"";"";"";"";"";"";"";"";
"864";"Eco Energy";"eco-energy";"";"";"0";"0";"";"";"";"";"";"";"";"";
"885";"Triax";"triax";"";"";"0";"0";"";"";"";"";"";"";"";"";
"906";"Teka";"teka";"";"";"0";"0";"";"";"";"";"";"";"";"";
"936";"Sonos";"sonos";"";"";"0";"0";"";"";"";"";"";"";"";"";
"957";"Inhouse";"inhouse";"";"";"0";"0";"";"";"";"";"";"";"";"";
"972";"Kitchenaid";"kitchenaid";"";"";"0";"0";"";"";"";"";"";"";"";"";
"978";"CleanMate";"cleanmate";"";"";"0";"0";"";"";"";"";"";"";"";"";
"1014";"Melitta";"melitta";"";"";"0";"0";"";"";"";"";"";"";"";"";
"1017";"Stell";"stell";"";"";"0";"0";"";"";"";"";"";"";"";"";
"1047";"Koss";"koss";"";"";"0";"0";"";"";"";"";"";"";"";"";
"1116";"Cafe De Paris";"cafe-de-paris";"";"";"0";"0";"";"";"";"";"";"";"";"";
"1122";"Primo";"primo";"";"";"0";"0";"";"";"";"";"";"";"";"";
"1143";"Babyliss";"babyliss";"";"";"0";"0";"";"";"";"";"";"";"";"";
"1182";"Polti";"polti";"";"";"0";"0";"";"";"";"";"";"";"";"";
"1188";"AMAZFIT";"amazfit";"";"";"0";"0";"";"";"";"";"";"";"";"";
"1212";"Jata";"jata";"";"";"0";"0";"";"";"";"";"";"";"";"";
"1215";"Morso";"morso";"";"";"0";"0";"";"";"";"";"";"";"";"";
"1221";"Hisense";"hisense";"";"";"0";"0";"";"";"";"";"";"";"";"";
"1224";"Hisense Ce";"hisense-ce";"";"";"0";"0";"";"";"";"";"";"";"";"";
"1227";"Weller";"weller";"";"";"0";"0";"";"";"";"";"";"";"";"";
"1230";"Aeg";"aeg";"";"";"0";"0";"";"";"";"";"";"";"";"";
"1236";"YENKEE";"yenkee";"";"";"0";"0";"";"";"";"";"";"";"";"";
"1239";"Nature7";"nature7";"";"";"0";"0";"";"";"";"";"";"";"";"";
"1245";"QUER";"quer";"";"";"0";"0";"";"";"";"";"";"";"";"";
"1251";"Panasonic_Ce";"panasonic_ce";"";"";"0";"0";"";"";"";"";"";"";"";"";
"1257";"Spottune";"spottune";"";"";"0";"0";"";"";"";"";"";"";"";"";
"1269";"My Wall";"my-wall";"";"";"0";"0";"";"";"";"";"";"";"";"";
"1290";"Hütermann";"hutermann";"";"";"0";"0";"";"";"";"";"";"";"";"";
"1293";"Seagate";"seagate";"";"";"0";"0";"";"";"";"";"";"";"";"";
"1299";"Tesla Batteries";"tesla-batteries";"";"";"0";"0";"";"";"";"";"";"";"";"";
"1308";"Oregon Scientific";"oregon-scientific";"";"";"0";"0";"";"";"";"";"";"";"";"";
"1311";"Lg_Ce";"lg_ce";"";"";"0";"0";"";"";"";"";"";"";"";"";
"1317";"MIDEA Robozone";"midea-robozone";"";"";"0";"0";"";"";"";"";"";"";"";"";
"1320";"Bosch";"bosch";"";"";"0";"0";"";"";"";"";"";"";"";"";
"1326";"Bstsonic";"bstsonic";"";"";"0";"0";"";"";"";"";"";"";"";"";
"1329";"Selfsat";"selfsat";"";"";"0";"0";"";"";"";"";"";"";"";"";
"1335";"Kluge";"kluge";"";"";"0";"0";"";"";"";"";"";"";"";"";
"1341";"Lord";"lord";"";"";"0";"0";"";"";"";"";"";"";"";"";
"1344";"Romo";"romo";"";"";"0";"0";"";"";"";"";"";"";"";"";
"1347";"Brandt";"brandt";"";"";"0";"0";"";"";"";"";"";"";"";"";
"1359";"Steamone";"steamone";"";"";"0";"0";"";"";"";"";"";"";"";"";
"1362";"Hobot";"hobot";"";"";"0";"0";"";"";"";"";"";"";"";"";
"1365";"Raycop";"raycop";"";"";"0";"0";"";"";"";"";"";"";"";"";
"1368";"Wpro";"wpro";"";"";"0";"0";"";"";"";"";"";"";"";"";
"1371";"Solarvertech";"solarvertech";"";"";"0";"0";"";"";"";"";"";"";"";"";
"1374";"Hitachi";"hitachi";"";"";"0";"0";"";"";"";"";"";"";"";"";
"1377";"Siemens";"siemens";"";"";"0";"0";"";"";"";"";"";"";"";"";
"1380";"Jura";"jura";"";"";"0";"0";"";"";"";"";"";"";"";"";
"1383";"Liebherr";"liebherr";"";"";"0";"0";"";"";"";"";"";"";"";"";
"1386";"Hoover";"hoover";"";"";"0";"0";"";"";"";"";"";"";"";"";
"1392";"A4Tech";"a4tech";"";"";"0";"0";"";"";"";"";"";"";"";"";
"1395";"Sonorous";"sonorous";"";"";"0";"0";"";"";"";"";"";"";"";"";
"1398";"Acousticsheep";"acousticsheep";"";"";"0";"0";"";"";"";"";"";"";"";"";
"1401";"Kraft";"kraft";"";"";"0";"0";"";"";"";"";"";"";"";"";
"1407";"One For All";"one-for-all";"";"";"0";"0";"";"";"";"";"";"";"";"";
"1410";"Soundmagic";"soundmagic";"";"";"0";"0";"";"";"";"";"";"";"";"";
"1413";"Q Acoustics";"q-acoustics";"";"";"0";"0";"";"";"";"";"";"";"";"";
"1416";"Gigablue";"gigablue";"";"";"0";"0";"";"";"";"";"";"";"";"";
"1422";"Mecool";"mecool";"";"";"0";"0";"";"";"";"";"";"";"";"";
"1425";"Nokia";"nokia";"";"";"0";"0";"";"";"";"";"";"";"";"";
"1428";"Tristar";"tristar";"";"";"0";"0";"";"";"";"";"";"";"";"";
"1440";"Colentris";"colentris";"";"";"0";"0";"";"";"";"";"";"";"";"";
"1443";"Zanussi";"zanussi";"";"";"0";"0";"";"";"";"";"";"";"";"";
"1446";"Dreambox";"dreambox";"";"";"0";"0";"";"";"";"";"";"";"";"";
"1449";"Google";"google";"";"";"0";"0";"";"";"";"";"";"";"";"";
