"parentUrl";"expandInMenu";"visible";"priority";"access";"title";"linkText";"url";"topDescription";"bottomDescription";"metaTitle";"metaDescription"
"vlakna-pre-3d-tlac";"0";"1";"1";"1";"ABS a ASA filamenty";"ABS a ASA filamenty";"abs-a-asa-filamenty";"<p>ABS a ASA filamenty sú materiály na technické 3D výtlačky.</p>";"<h2>ABS a ASA filamenty – výber a použitie</h2><p>Overte, či tlačiareň podporuje potrebné teploty a vhodné podmienky tlače. Pri výbere zohľadnite požadované použitie výrobku a odporúčania k odvetraniu.</p><p>Ďalší výber ponúka <a href=""/vlakna-pre-3d-tlac/"">Tlačové struny a vlákna</a>. Súvisiaci sortiment nájdete v kategórii <a href=""/pla-filamenty/"">PLA filamenty</a>.</p>";"ABS a ASA filamenty | PremiumStore.sk";"ABS a ASA filamenty sú materiály na technické 3D výtlačky."
"vlakna-pre-3d-tlac";"0";"1";"2";"1";"PETG filamenty";"PETG filamenty";"petg-filamenty";"<p>PETG filamenty rozširujú výber materiálov pre funkčné aj bežné 3D výtlačky.</p>";"<h2>PETG filamenty – výber a použitie</h2><p>Porovnajte priemer filamentu a odporúčané teploty tlače. Materiál skladujte podľa pokynov výrobcu a pred tlačou zohľadnite jeho stav a vysušenie.</p><p>Ďalší výber ponúka <a href=""/vlakna-pre-3d-tlac/"">Tlačové struny a vlákna</a>. Súvisiaci sortiment nájdete v kategórii <a href=""/pla-filamenty/"">PLA filamenty</a>.</p>";"PETG filamenty | PremiumStore.sk";"PETG filamenty rozširujú výber materiálov pre funkčné aj bežné 3D výtlačky."
"vlakna-pre-3d-tlac";"0";"1";"3";"1";"PLA filamenty";"PLA filamenty";"pla-filamenty";"<p>PLA filamenty sú materiály na 3D tlač s bežne dostupnými FDM tlačiarňami.</p>";"<h2>PLA filamenty – výber a použitie</h2><p>Overte priemer struny, hmotnosť cievky a teploty odporúčané výrobcom. Hodvábne, matné či plnené varianty PLA môžu potrebovať odlišné nastavenia.</p><p>Ďalší výber ponúka <a href=""/vlakna-pre-3d-tlac/"">Tlačové struny a vlákna</a>. Súvisiaci sortiment nájdete v kategórii <a href=""/petg-filamenty/"">PETG filamenty</a>.</p>";"PLA filamenty | PremiumStore.sk";"PLA filamenty sú materiály na 3D tlač s bežne dostupnými FDM tlačiarňami."
"vlakna-pre-3d-tlac";"0";"1";"4";"1";"TPU filamenty";"TPU filamenty";"tpu-filamenty";"<p>TPU filamenty slúžia na tlač pružných dielov.</p>";"<h2>TPU filamenty – výber a použitie</h2><p>Porovnajte tvrdosť materiálu, odporúčanú rýchlosť a kompatibilitu s podávacím mechanizmom tlačiarne. Rôzne TPU materiály nemusia mať rovnakú pružnosť.</p><p>Ďalší výber ponúka <a href=""/vlakna-pre-3d-tlac/"">Tlačové struny a vlákna</a>. Súvisiaci sortiment nájdete v kategórii <a href=""/pla-filamenty/"">PLA filamenty</a>.</p>";"TPU filamenty | PremiumStore.sk";"TPU filamenty slúžia na tlač pružných dielov."
"multimetre-a-kliestove-merace";"0";"1";"1";"1";"Digitálne multimetre";"Digitálne multimetre";"digitalne-multimetre";"<p>Digitálne multimetre kombinujú viac meracích funkcií v jednom prístroji.</p>";"<h2>Digitálne multimetre – výber a použitie</h2><p>Vyberajte podľa rozsahov napätia, prúdu a odporu, presnosti a bezpečnostnej kategórie. Príslušenstvo a meracie vodiče musia zodpovedať použitiu.</p><p>Ďalší výber ponúka <a href=""/multimetre-a-kliestove-merace/"">Multimetre a kliešťové merače</a>. Súvisiaci sortiment nájdete v kategórii <a href=""/kliestove-merace/"">Kliešťové merače</a>.</p>";"Digitálne multimetre | PremiumStore.sk";"Digitálne multimetre kombinujú viac meracích funkcií v jednom prístroji."
"multimetre-a-kliestove-merace";"0";"1";"2";"1";"Kliešťové merače";"Kliešťové merače";"kliestove-merace";"<p>Kliešťové merače umožňujú meranie vybraných elektrických veličín pomocou meracích čeľustí.</p>";"<h2>Kliešťové merače – výber a použitie</h2><p>Porovnajte meranie AC alebo DC prúdu, rozsahy a bezpečnostnú kategóriu prístroja. Rozmer čeľustí musí zodpovedať meranému vodiču.</p><p>Ďalší výber ponúka <a href=""/multimetre-a-kliestove-merace/"">Multimetre a kliešťové merače</a>. Súvisiaci sortiment nájdete v kategórii <a href=""/digitalne-multimetre/"">Digitálne multimetre</a>.</p>";"Kliešťové merače | PremiumStore.sk";"Kliešťové merače umožňujú meranie vybraných elektrických veličín pomocou meracích čeľustí."
"kable-pre-fotovoltaiku";"0";"1";"1";"1";"Fotovoltaické konektory";"Fotovoltaické konektory";"fotovoltaicke-konektory";"<p>Fotovoltaické konektory slúžia na spojenie kompatibilných káblov a zariadení.</p>";"<h2>Fotovoltaické konektory – výber a použitie</h2><p>Overte typ, prierez vodiča a výrobcom deklarovanú kompatibilitu. Rovnaký vzhľad konektorov nie je dôkazom vzájomnej zameniteľnosti.</p><p>Ďalší výber ponúka <a href=""/kable-pre-fotovoltaiku/"">Káble a konektory pre fotovoltaiku</a>. Súvisiaci sortiment nájdete v kategórii <a href=""/fotovoltaicke-kable/"">Fotovoltaické káble</a>.</p>";"Fotovoltaické konektory | PremiumStore.sk";"Fotovoltaické konektory slúžia na spojenie kompatibilných káblov a zariadení."
"kable-pre-fotovoltaiku";"0";"1";"2";"1";"Fotovoltaické káble";"Fotovoltaické káble";"fotovoltaicke-kable";"<p>Fotovoltaické káble sú určené na prepojenie kompatibilných prvkov solárnej inštalácie.</p>";"<h2>Fotovoltaické káble – výber a použitie</h2><p>Porovnajte prierez, menovité napätie, dĺžku a určenie kábla. Výber musí zodpovedať návrhu inštalácie a podmienkam použitia.</p><p>Ďalší výber ponúka <a href=""/kable-pre-fotovoltaiku/"">Káble a konektory pre fotovoltaiku</a>. Súvisiaci sortiment nájdete v kategórii <a href=""/fotovoltaicke-konektory/"">Fotovoltaické konektory</a>.</p>";"Fotovoltaické káble | PremiumStore.sk";"Fotovoltaické káble sú určené na prepojenie kompatibilných prvkov solárnej inštalácie."
"herne-simulatory";"0";"1";"1";"1";"Volanty a pretekárske ovládače";"Volanty a pretekárske ovládače";"volanty-a-pretekarske-ovladace";"<p>Volanty, pedále a radiace páky dopĺňajú ovládanie pretekárskych simulátorov.</p>";"<h2>Volanty a pretekárske ovládače – výber a použitie</h2><p>Najprv overte platformu a vzájomnú kompatibilitu základne, volantu a pedálov. Force feedback, rozsah otáčania a spôsob uchytenia porovnávajte pri konkrétnych zostavách.</p><p>Ďalší výber ponúka <a href=""/herne-simulatory/"">Herné simulátory</a>. Súvisiaci sortiment nájdete v kategórii <a href=""/pocitace-mobily-a-tablety/"">Počítače, mobily a tablety</a>.</p>";"Volanty a pretekárske ovládače | PremiumStore.sk";"Volanty, pedále a radiace páky dopĺňajú ovládanie pretekárskych simulátorov."
"filtre-2";"0";"1";"1";"1";"Efektové a difúzne filtre";"Efektové a difúzne filtre";"efektove-a-difuzne-filtre";"<p>Efektové a difúzne filtre menia podanie svetiel a charakter obrazu.</p>";"<h2>Efektové a difúzne filtre – výber a použitie</h2><p>Porovnajte silu difúzie a spôsob uchytenia. Efektový filter vyberajte podľa zamýšľaného vzhľadu záberu a kompatibility s optikou.</p><p>Ďalší výber ponúka <a href=""/filtre-2/"">Filtre</a>. Súvisiaci sortiment nájdete v kategórii <a href=""/supravy-fotografickych-filtrov/"">Súpravy fotografických filtrov</a>.</p>";"Efektové a difúzne filtre | PremiumStore.sk";"Efektové a difúzne filtre menia podanie svetiel a charakter obrazu."
