"code";"pairCode";"defaultCategory";"categoryText";"categoryText2";"categoryText3"
"DIB-100";"";"Profesionálna audio technika > Pódium, diskotéka, DJ > DI boxy a audio izolátory";"";"";""
"DIB-102";"";"Profesionálna audio technika > Pódium, diskotéka, DJ > DI boxy a audio izolátory";"";"";""
"DIB-110";"";"Profesionálna audio technika > Pódium, diskotéka, DJ > DI boxy a audio izolátory";"";"";""
"KM-19674";"";"Profesionálna audio technika > Pódium, diskotéka, DJ > Mikrofónové a reproduktorové stojany";"";"";""
"KM-210/9";"";"Profesionálna audio technika > Pódium, diskotéka, DJ > Mikrofónové a reproduktorové stojany";"";"";""
"KM-21302";"";"Profesionálna audio technika > Pódium, diskotéka, DJ > Mikrofónové a reproduktorové stojany";"";"";""
"KM-214/6";"";"Profesionálna audio technika > Pódium, diskotéka, DJ > Mikrofónové a reproduktorové stojany";"";"";""
"KM-21435";"";"Profesionálna audio technika > Pódium, diskotéka, DJ > Mikrofónové a reproduktorové stojany";"";"";""
"KM-259";"";"Profesionálna audio technika > Pódium, diskotéka, DJ > Mikrofónové a reproduktorové stojany";"";"";""
"KM-26735";"";"Profesionálna audio technika > Pódium, diskotéka, DJ > Mikrofónové a reproduktorové stojany";"";"";""
"MMX-602/SW";"";"Profesionálna audio technika > Pódium, diskotéka, DJ > Mixážne pulty";"";"";""
"MS-20/SW";"";"Profesionálna audio technika > Pódium, diskotéka, DJ > Mikrofónové a reproduktorové stojany";"";"";""
"MS-28";"";"Profesionálna audio technika > Pódium, diskotéka, DJ > Mikrofónové a reproduktorové stojany";"";"";""
"MS-60/SW";"";"Profesionálna audio technika > Pódium, diskotéka, DJ > Mikrofónové a reproduktorové stojany";"";"";""
"MS-90/SW";"";"Profesionálna audio technika > Pódium, diskotéka, DJ > Mikrofónové a reproduktorové stojany";"";"";""
"MS-92/SW";"";"Profesionálna audio technika > Pódium, diskotéka, DJ > Mikrofónové a reproduktorové stojany";"";"";""
"PAST-120/SW";"";"Profesionálna audio technika > Pódium, diskotéka, DJ > Mikrofónové a reproduktorové stojany";"";"";""
"PAST-125SET";"";"Profesionálna audio technika > Pódium, diskotéka, DJ > Mikrofónové a reproduktorové stojany";"";"";""
"PAST-164SET";"";"Profesionálna audio technika > Pódium, diskotéka, DJ > Mikrofónové a reproduktorové stojany";"";"";""
"PAST-250/SW";"";"Profesionálna audio technika > Pódium, diskotéka, DJ > Mikrofónové a reproduktorové stojany";"";"";""
"SA-230/SW";"";"Profesionálna audio technika > Pódium, diskotéka, DJ > Mixážne pulty";"";"";""
"SA-250/SW";"";"Profesionálna audio technika > Pódium, diskotéka, DJ > Mixážne pulty";"";"";""
"VMX-440/SW";"";"Profesionálna audio technika > Pódium, diskotéka, DJ > Mixážne pulty";"";"";""
"CS-4";"";"Profesionálna audio technika > Pódium, diskotéka, DJ > Mixážne pulty";"Profesionálna audio technika > Mikrofóny a bezdrôtové systémy";"Profesionálna audio technika > Tlmočnícke a konferenčné systémy";""
