"code";"pairCode";"defaultCategory";"categoryText";"categoryText2";"categoryText3"
"057896";"";"TV, audio, video a foto technika > Foto a príslušenstvo > Filtre > Súpravy fotografických filtrov";"";"";""
"065401";"";"TV, audio, video a foto technika > Foto a príslušenstvo > Príslušenstvo pre fotoaparáty a akčné kamery > Ochranné sklá a fólie pre kamery";"";"";""
"029016";"";"TV, audio, video a foto technika > Foto a príslušenstvo > Príslušenstvo pre fotoaparáty a akčné kamery > Batérie a nabíjačky pre kamery";"";"";""
"083747";"";"TV, audio, video a foto technika > Foto a príslušenstvo > Fotoateliér > Softboxy a modifikátory svetla";"";"";""
"083511";"";"TV, audio, video a foto technika > Foto a príslušenstvo > Príslušenstvo pre fotoaparáty a akčné kamery > Batérie a nabíjačky pre kamery";"";"";""
"KB_100000159724";"";"Počítače, mobily a tablety > USB káble";"";"";""
"KB_100000159725";"";"Počítače, mobily a tablety > USB káble";"";"";""
"KB_100000159726";"";"Počítače, mobily a tablety > USB káble";"";"";""
"KB_100000159727";"";"Počítače, mobily a tablety > USB káble";"";"";""
"KB_100002068467";"";"Počítače, mobily a tablety > USB káble";"";"";""
"KB_100002068468";"";"Počítače, mobily a tablety > USB káble";"";"";""
"KB_100000939265";"";"Počítače, mobily a tablety > USB káble";"";"";""
"KB_100000939266";"";"Počítače, mobily a tablety > USB káble";"";"";""
"KB_100000939268";"";"Počítače, mobily a tablety > USB káble";"";"";""
"KB_100002127902";"";"Počítače, mobily a tablety > USB káble";"";"";""
"KB_100002127904";"";"Počítače, mobily a tablety > USB káble";"";"";""
"KB_100002127903";"";"Počítače, mobily a tablety > USB káble";"";"";""
"KB_100002127901";"";"Počítače, mobily a tablety > USB káble";"";"";""
"KB_100002127896";"";"Počítače, mobily a tablety > USB káble";"";"";""
"KB_100002127893";"";"Počítače, mobily a tablety > USB káble";"";"";""
"KB_100002127897";"";"Počítače, mobily a tablety > USB káble";"";"";""
"KB_100002127898";"";"Počítače, mobily a tablety > USB káble";"";"";""
"KB_100002074588";"";"Počítače, mobily a tablety > USB káble";"";"";""
"KB_100002074589";"";"Počítače, mobily a tablety > USB káble";"";"";""
"KB_100000447450";"";"Počítače, mobily a tablety > USB káble";"";"";""
"KB_100002136982";"";"Počítače, mobily a tablety > Puzdrá, sklá a príslušenstvo pre mobily > Tvrdené sklá a fólie";"";"";""
"KB_100002136974";"";"Počítače, mobily a tablety > Puzdrá, sklá a príslušenstvo pre mobily > Tvrdené sklá a fólie";"";"";""
"KB_100002136971";"";"Počítače, mobily a tablety > Puzdrá, sklá a príslušenstvo pre mobily > Tvrdené sklá a fólie";"";"";""
"KB_100002136970";"";"Počítače, mobily a tablety > Puzdrá, sklá a príslušenstvo pre mobily > Tvrdené sklá a fólie";"";"";""
"KB_100002136975";"";"Počítače, mobily a tablety > Puzdrá, sklá a príslušenstvo pre mobily > Tvrdené sklá a fólie";"";"";""
"KB_100002136973";"";"Počítače, mobily a tablety > Puzdrá, sklá a príslušenstvo pre mobily > Tvrdené sklá a fólie";"";"";""
"KB_100002136972";"";"Počítače, mobily a tablety > Puzdrá, sklá a príslušenstvo pre mobily > Tvrdené sklá a fólie";"";"";""
"KB_100002136980";"";"Počítače, mobily a tablety > Puzdrá, sklá a príslušenstvo pre mobily > Tvrdené sklá a fólie";"";"";""
"KB_100002136979";"";"Počítače, mobily a tablety > Puzdrá, sklá a príslušenstvo pre mobily > Tvrdené sklá a fólie";"";"";""
"KB_100002136978";"";"Počítače, mobily a tablety > Puzdrá, sklá a príslušenstvo pre mobily > Tvrdené sklá a fólie";"";"";""
"KB_100002136981";"";"Počítače, mobily a tablety > Puzdrá, sklá a príslušenstvo pre mobily > Tvrdené sklá a fólie";"";"";""
"KB_100002136976";"";"Počítače, mobily a tablety > Puzdrá, sklá a príslušenstvo pre mobily > Tvrdené sklá a fólie";"";"";""
"KB_100002131481";"";"Počítače, mobily a tablety";"";"";""
"KB_100002131483";"";"Počítače, mobily a tablety";"";"";""
"KB_100002164562";"";"TV, audio, video a foto technika > Audio technika > Slúchadlá > Bezdrôtové slúchadlá > TWS slúchadlá";"";"";""
"KB_100001474194";"";"Počítače, mobily a tablety > Nositeľná elektronika";"";"";""
"KB_100001474183";"";"Počítače, mobily a tablety > Nositeľná elektronika";"";"";""
"KB_100002164673";"";"TV, audio, video a foto technika > Audio technika > Slúchadlá > Bezdrôtové slúchadlá > TWS slúchadlá";"";"";""
"KB_100001880335";"";"Domáce spotrebiče > Kuchynské roboty a krájače > Krájače potravín";"";"";""
"KB_100001880337";"";"Domáce spotrebiče > Kuchynské roboty a krájače > Krájače potravín";"";"";""
"KB_100001880340";"";"Domáce spotrebiče > Kuchynské roboty a krájače > Krájače potravín";"";"";""
"KB_100001880345";"";"Domáce spotrebiče > Kuchynské roboty a krájače > Krájače potravín";"";"";""
"AT_IST-DOVAM00022";"";"TV, audio, video a foto technika > Diaľkové ovládače > Satelitné ovládače > Amiko";"";"";""
"087275";"";"Domáce spotrebiče > Kuchynské roboty a krájače > Mixéry a šľahače";"";"";""
"077572";"";"TV, audio, video a foto technika > Foto a príslušenstvo > Príslušenstvo pre fotoaparáty a akčné kamery > Ochranné sklá a fólie pre kamery";"";"";""
"066488";"";"3D tlač a digitálna výroba > 3D tlačiarne a materiály > Tlačové struny a vlákna > PLA filamenty";"";"";""
"KB_100002201678";"";"TV, audio, video a foto technika > Audio technika > Slúchadlá > Bezdrôtové slúchadlá > Náhlavné bezdrôtové slúchadlá";"";"";""
"KB_100002118859";"";"TV, audio, video a foto technika > Audio technika > Slúchadlá > Bezdrôtové slúchadlá > Náhlavné bezdrôtové slúchadlá";"";"";""
"KB_100002164092";"";"TV, audio, video a foto technika > Audio technika > Slúchadlá > Bezdrôtové slúchadlá > TWS slúchadlá";"";"";""
"KB_100002201072";"";"Počítače, mobily a tablety";"";"";""
"KB_100001453241";"";"Počítače, mobily a tablety";"";"";""
"KB_100002129968";"";"Domáce spotrebiče > Kuchynské roboty a krájače > Mixéry a šľahače";"";"";""
