"id";"parentUrl";"title";"url";"visible"
"49743";"cestovanie-sport-a-outdoor";"Podvodné skútre";"podvodne-skutre";"0"
"50175";"posilnovanie-a-fitness";"Doplnkové posilňovacie pomôcky";"doplnkove-posilnovacie-pomocky";"0"
"51051";"chovatelske-potreby";"Ostatné chovateľské potreby";"ostatne-chovatelske-potreby";"0"
"50646";"mechanicke-naradie";"Nitovačky a nity";"nitovacky";"0"
"49821";"domace-spotrebice";"Spotrebiče na párty a oslavy";"na-party-a-oslavy";"0"
"49788";"domace-spotrebice";"Čistiace prístroje a doplnky";"cistiace-pristroje-a-doplnky";"0"
"50499";"osvetlenie";"LED pásiky a profily";"led-pasiky";"0"
"50322";"osvetlenie";"Vianočné osvetlenie a dekorácie";"vianocne-osvetlenie";"0"
"49932";"elektro-smart-home-a-osvetlenie";"Príslušenstvo pre zabezpečovacie systémy";"prislusenstvo-pre-zabezpecovacie-systemy";"0"
"49986";"pocitace-mobily-a-tablety";"Čítačky pamäťových kariet";"citacky-kariet-2";"0"
"50652";"audio-ovladace";"AIWA";"audio-ovladace-aiwa";"0"
"50658";"audio-ovladace";"Philips";"audio-ovladace-philips";"0"
"50661";"audio-ovladace";"TechniSat";"audio-ovladace-technisat";"0"
"50664";"dvd-ovladace";"Denon";"dvd-ovladace-denon";"0"
"50667";"dvd-ovladace";"LG";"dvd-ovladace-lg";"0"
"50670";"dvd-ovladace";"Philips";"dvd-ovladace-philips";"0"
"50673";"dvd-ovladace";"Samsung";"dvd-ovladace-samsung";"0"
"50676";"dvd-ovladace";"Sharp";"dvd-ovladace-sharp";"0"
"50679";"dvd-ovladace";"Sony";"dvd-ovladace-sony";"0"
"50682";"dvd-ovladace";"Technics";"dvd-ovladace-technics";"0"
"50685";"ovladace-k-dvb-t2";"AB";"dvbt2-ovladace-ab";"0"
"50694";"ovladace-k-dvb-t2";"Cabletech";"dvbt2-ovladace-cabletech";"0"
"50697";"ovladace-k-dvb-t2";"DIWAY";"dvbt2-ovladace-diway";"0"
"50700";"ovladace-k-dvb-t2";"Dreambox";"dvbt2-ovladace-dreambox";"0"
"50703";"ovladace-k-dvb-t2";"Edision";"dvbt2-ovladace-edision";"0"
"50709";"ovladace-k-dvb-t2";"Evolve";"dvbt2-ovladace-evolve";"0"
"50712";"ovladace-k-dvb-t2";"Ferguson";"dvbt2-ovladace-ferguson";"0"
"50715";"ovladace-k-dvb-t2";"Fte";"dvbt2-ovladace-fte";"0"
"50718";"ovladace-k-dvb-t2";"Fuba";"dvbt2-ovladace-fuba";"0"
"50727";"ovladace-k-dvb-t2";"GoSAT";"dvbt2-ovladace-gosat";"0"
"50724";"ovladace-k-dvb-t2";"Golden Media";"dvbt2-ovladace-golden-media";"0"
"50730";"ovladace-k-dvb-t2";"Humax";"dvbt2-ovladace-humax";"0"
"50733";"ovladace-k-dvb-t2";"Hyundai";"dvbt2-ovladace-hyundai";"0"
