"code";"pairCode";"defaultCategory";"categoryText"
"PEN_7822039";"";"Domáce spotrebiče > Klimatizácia a vzduch > Aróma difuzéry";""
"057985";"";"TV, audio, video a foto technika > Príslušenstvo k TV, audio a video technike";""
"PEN_10911010";"";"Energia a napájanie > Akumulátory a batérie > Nabíjacie batérie a gombíkové články";""
"PEN_54980650";"";"Energia a napájanie > Akumulátory a batérie";""
"BAS_BASYS-B112D2";"";"Profesionálna audio technika > PA reproduktory";""
"PEN_49907063";"";"Počítače, mobily a tablety > PC periférie";""
"064404";"";"Auto-moto > Elektronika do auta";""
"089582";"";"Domáce spotrebiče > Príslušenstvo k malým spotrebičom";""
"PEN_52420103";"";"Elektro, Smart Home a osvetlenie > Osvetlenie – svietidlá > LED pásiky a profily";""
"AT_MS-GARNI 1NG2";"";"Domáce spotrebiče > Meteostanice";""
"AT_MS-GARNI 1NG3";"";"Domáce spotrebiče > Meteostanice";""
"PEN_70293576";"";"Elektro, Smart Home a osvetlenie > IP kamery";""
"PEN_70293580";"";"Elektro, Smart Home a osvetlenie > IP kamery";""
"PEN_70293647";"";"Elektro, Smart Home a osvetlenie > IP kamery";""
"PEN_52932497";"";"Elektro, Smart Home a osvetlenie > IP kamery";""
"PEN_52932358";"";"Elektro, Smart Home a osvetlenie > IP kamery";""
"PEN_52932464";"";"Elektro, Smart Home a osvetlenie > IP kamery";""
"PEN_52932452";"";"Elektro, Smart Home a osvetlenie > IP kamery";""
"BAS_BASYS-M99C-EPB";"";"TV, audio, video a foto technika > Príslušenstvo k TV, audio a video technike";""
"BAS_BASYS-M99C-HBB";"";"TV, audio, video a foto technika > Príslušenstvo k TV, audio a video technike";""
"BAS_BASYS-M99C-CPB";"";"TV, audio, video a foto technika > Príslušenstvo k TV, audio a video technike";""
"PEN_5545065";"";"Auto-moto > Autobatérie, nabíjačky a štartovacie boxy";""
"PEN_553773";"";"Energia a napájanie > Nabíjačky batérií a akumulátorov";""
"PEN_52998978";"";"Energia a napájanie > Meniče napätia";""
"PEN_52998835";"";"Energia a napájanie > Meniče napätia";""
"PEN_52901911";"";"Energia a napájanie > Záložné zdroje a UPS";"Auto-moto > Karavany a obytné autá"
"PEN_655261";"";"Domáce spotrebiče > Príslušenstvo k malým spotrebičom";""
"PEN_65525730";"";"Domáce spotrebiče > Príprava nápojov";""
"PEN_6552610";"";"Domáce spotrebiče > Príslušenstvo k malým spotrebičom";""
"PEN_54721761";"";"Počítače, mobily a tablety > Selfie tyče a statívy pre telefóny";""
"PEN_6025420";"";"TV, audio, video a foto technika > Audio technika > Slúchadlá > Bezdrôtové slúchadlá";""
"ECUSHWW1BLK";"";"TV, audio, video a foto technika > Príslušenstvo k TV, audio a video technike";""
"ECUSHWW1";"";"TV, audio, video a foto technika > Príslušenstvo k TV, audio a video technike";""
"AMPG1EU1BLK";"";"TV, audio, video a foto technika > Audio technika";""
"AR2WMWW1BLK";"";"TV, audio, video a foto technika > Príslušenstvo k TV, audio a video technike";""
"ARCWMWW1BLK";"";"TV, audio, video a foto technika > Príslušenstvo k TV, audio a video technike";""
"BM1WMWW1BLK";"";"TV, audio, video a foto technika > Príslušenstvo k TV, audio a video technike";""
"BM1WMWW1";"";"TV, audio, video a foto technika > Príslušenstvo k TV, audio a video technike";""
"BOOSTEU1";"";"TV, audio, video a foto technika > Príslušenstvo k TV, audio a video technike";""
"CDNGLWW1BLK";"";"TV, audio, video a foto technika > Príslušenstvo k TV, audio a video technike";""
"CDNGLWW1";"";"TV, audio, video a foto technika > Príslušenstvo k TV, audio a video technike";""
"E10G1EU1BLK";"";"TV, audio, video a foto technika > Audio technika > HiFi a domáce reproduktory";""
"E10MTWW1BLK";"";"TV, audio, video a foto technika > Príslušenstvo k TV, audio a video technike";""
"E10MPWW1BLK";"";"TV, audio, video a foto technika > Príslušenstvo k TV, audio a video technike";""
"E10MPWW1";"";"TV, audio, video a foto technika > Príslušenstvo k TV, audio a video technike";""
"E10MTWW1";"";"TV, audio, video a foto technika > Príslušenstvo k TV, audio a video technike";""
"B2E1PROEU1BKHB";"";"Profesionálna audio technika > PA reproduktory";""
"B2E1PROEU1HB";"";"Profesionálna audio technika > PA reproduktory";""
"E1PMPWW1BLK";"";"Profesionálna audio technika";""
"E1PMPWW1";"";"Profesionálna audio technika";""
"E10FSWW1BLK";"";"TV, audio, video a foto technika > Príslušenstvo k TV, audio a video technike";""
"E10SPWW1BLK";"";"TV, audio, video a foto technika > Príslušenstvo k TV, audio a video technike";""
"E10SPWW1";"";"TV, audio, video a foto technika > Príslušenstvo k TV, audio a video technike";""
"E10FSWW1";"";"TV, audio, video a foto technika > Príslušenstvo k TV, audio a video technike";""
"E10G1EU1";"";"TV, audio, video a foto technika > Audio technika > HiFi a domáce reproduktory";""
"E30G1EU1BLK";"";"TV, audio, video a foto technika > Audio technika > HiFi a domáce reproduktory";""
"E30MTWW1BLK";"";"TV, audio, video a foto technika > Príslušenstvo k TV, audio a video technike";""
"E30MPWW1BLK";"";"TV, audio, video a foto technika > Príslušenstvo k TV, audio a video technike";""
"E30MPWW1";"";"TV, audio, video a foto technika > Príslušenstvo k TV, audio a video technike";""
"E30MTWW1";"";"TV, audio, video a foto technika > Príslušenstvo k TV, audio a video technike";""
"E30FSWW1BLK";"";"TV, audio, video a foto technika > Príslušenstvo k TV, audio a video technike";""
"E30SPWW1BLK";"";"TV, audio, video a foto technika > Príslušenstvo k TV, audio a video technike";""
"E30SPWW1";"";"TV, audio, video a foto technika > Príslušenstvo k TV, audio a video technike";""
"E30FSWW1";"";"TV, audio, video a foto technika > Príslušenstvo k TV, audio a video technike";""
"E30G1EU1";"";"TV, audio, video a foto technika > Audio technika > HiFi a domáce reproduktory";""
"PCERAEU1BLK";"";"TV, audio, video a foto technika > Príslušenstvo k TV, audio a video technike";""
"PCERAEU1";"";"TV, audio, video a foto technika > Príslušenstvo k TV, audio a video technike";""
"FIVE1EU1BLK";"";"TV, audio, video a foto technika > Audio technika > HiFi a domáce reproduktory";""
"FIVE1EU1";"";"TV, audio, video a foto technika > Audio technika > HiFi a domáce reproduktory";""
"PCBMLEU1BLK";"";"TV, audio, video a foto technika > Príslušenstvo k TV, audio a video technike";""
"PCBMLEU1";"";"TV, audio, video a foto technika > Príslušenstvo k TV, audio a video technike";""
"PCBMSEU1BLK";"";"TV, audio, video a foto technika > Príslušenstvo k TV, audio a video technike";""
"PCBMSEU1";"";"TV, audio, video a foto technika > Príslušenstvo k TV, audio a video technike";""
"INWGRWW1";"";"TV, audio, video a foto technika > Príslušenstvo k TV, audio a video technike";""
"INCGRWW1";"";"TV, audio, video a foto technika > Príslušenstvo k TV, audio a video technike";""
"INCGAWW1";"";"TV, audio, video a foto technika > Príslušenstvo k TV, audio a video technike";""
"C8RDAWW1";"";"TV, audio, video a foto technika > Príslušenstvo k TV, audio a video technike";""
"C8SQAWW1";"";"TV, audio, video a foto technika > Príslušenstvo k TV, audio a video technike";""
"OUTGRWW1BLK";"";"TV, audio, video a foto technika > Príslušenstvo k TV, audio a video technike";""
"OUTGRWW1";"";"TV, audio, video a foto technika > Príslušenstvo k TV, audio a video technike";""
"INCL8WW1";"";"TV, audio, video a foto technika > Audio technika > HiFi a domáce reproduktory";""
"INCLGWW1";"";"TV, audio, video a foto technika > Audio technika > HiFi a domáce reproduktory";""
"INWLLWW1";"";"TV, audio, video a foto technika > Audio technika > HiFi a domáce reproduktory";""
"LDNGLWW1BLK";"";"TV, audio, video a foto technika > Príslušenstvo k TV, audio a video technike";""
"LDNGLWW1";"";"TV, audio, video a foto technika > Príslušenstvo k TV, audio a video technike";""
"MV2CBEU1BLK";"";"TV, audio, video a foto technika > Príslušenstvo k TV, audio a video technike";""
"MV2CBEU1";"";"TV, audio, video a foto technika > Príslušenstvo k TV, audio a video technike";""
"ONEG2EU1BLK";"";"TV, audio, video a foto technika > Audio technika > HiFi a domáce reproduktory";""
"ONESLEU1BLK";"";"TV, audio, video a foto technika > Audio technika > HiFi a domáce reproduktory";""
"ONESLEU1";"";"TV, audio, video a foto technika > Audio technika > HiFi a domáce reproduktory";""
"ONEG2EU1";"";"TV, audio, video a foto technika > Audio technika > HiFi a domáce reproduktory";""
"PCS1LEU1";"";"TV, audio, video a foto technika > Príslušenstvo k TV, audio a video technike";""
"PCS1SEU1BLK";"";"TV, audio, video a foto technika > Príslušenstvo k TV, audio a video technike";""
"OPADBWW1BLK";"";"TV, audio, video a foto technika > Príslušenstvo k TV, audio a video technike";""
"OPADPWW1BLK";"";"TV, audio, video a foto technika > Príslušenstvo k TV, audio a video technike";""
"OUTDRWW1BLK";"";"TV, audio, video a foto technika > Audio technika > HiFi a domáce reproduktory";""
"OUTDRWW1";"";"TV, audio, video a foto technika > Audio technika > HiFi a domáce reproduktory";""
"PORT1EU1BLK";"";"TV, audio, video a foto technika > Audio technika";""
"RAYWMWW1BLK";"";"TV, audio, video a foto technika > Príslušenstvo k TV, audio a video technike";""
"RCABLWW1BLK";"";"TV, audio, video a foto technika > Príslušenstvo k TV, audio a video technike";""
"RMWCHEU1BLK";"";"TV, audio, video a foto technika > Príslušenstvo k TV, audio a video technike";""
"RMWCHEU1";"";"TV, audio, video a foto technika > Príslušenstvo k TV, audio a video technike";""
"SPBPBWW1BLK";"";"TV, audio, video a foto technika > Príslušenstvo k TV, audio a video technike";""
"SPBPPWW1BLK";"";"TV, audio, video a foto technika > Príslušenstvo k TV, audio a video technike";""
"S1SHFWW1BLK";"";"TV, audio, video a foto technika > Príslušenstvo k TV, audio a video technike";""
"S1SHFWW1";"";"TV, audio, video a foto technika > Príslušenstvo k TV, audio a video technike";""
"SUBG4EU1BLK";"";"TV, audio, video a foto technika > Audio technika > HiFi a domáce reproduktory";""
"SUBG4EU1";"";"TV, audio, video a foto technika > Audio technika > HiFi a domáce reproduktory";""
"SUBG3EU1BLK";"";"TV, audio, video a foto technika > Audio technika > HiFi a domáce reproduktory";""
"SUBM1EU1BLK";"";"TV, audio, video a foto technika > Audio technika > HiFi a domáce reproduktory";""
"SUBM1EU1";"";"TV, audio, video a foto technika > Audio technika > HiFi a domáce reproduktory";""
"SUBG3EU1";"";"TV, audio, video a foto technika > Audio technika > HiFi a domáce reproduktory";""
"MVBAGWW1BLK";"";"TV, audio, video a foto technika > Príslušenstvo k TV, audio a video technike";""
"MVWHKWW1BLK";"";"TV, audio, video a foto technika > Príslušenstvo k TV, audio a video technike";""
"MVWHKWW1";"";"TV, audio, video a foto technika > Príslušenstvo k TV, audio a video technike";""
"070014";"";"Počítače, mobily a tablety > Puzdrá, sklá a príslušenstvo pre mobily > Puzdrá na mobilné telefóny";""
"PEN_78006127";"";"Domáce spotrebiče > Klimatizácia a vzduch > Ventilátory";""
"PEN_78006128";"";"Domáce spotrebiče > Klimatizácia a vzduch > Ventilátory";""
"PEN_78006126";"";"Domáce spotrebiče > Klimatizácia a vzduch > Ventilátory";""
"PEN_65526055";"";"Domáce spotrebiče > Vysávače";""
"PEN_52901907";"";"Energia a napájanie > Záložné zdroje a UPS";""
"PEN_52901906";"";"Energia a napájanie > Záložné zdroje a UPS";"Auto-moto > Karavany a obytné autá"
