"EAN","name","winner_supplier","winner_price","winner_stock","loser_supplier","loser_price","loser_stock"
"8717755321350","Kaon MZ-104, 4K satelitní přijímač","kb","88.18","6-20 ks skladom","atos","90.99","Skladom"
"8591043830751","Silový kabel pro pevné uložení CYKY-J 3x1,5","atos","0.8","Skladom","atos","4.49","Skladom"
"8591043830751","Silový kabel pro pevné uložení CYKY-J 3x1,5","atos","0.8","Skladom","atos","0.82","Skladom"
"8717755321343","Neotion CAM 803 Nagra Skylink CZ+SK","kb","26.41","6-20 ks skladom","atos","28.7","Skladom"
"6935750567302","Tester autobatérií UNI-T UT673A","innpro","25.58","Skladom","atos","30.38","Skladom"
"8596425184637","Nabíječka baterií Carspa CFB12/24-12 Pb, AGM, LiFePO4","atos","27.29","Skladom","atos","27.5","Skladom"
"4250593430000","CP-UNC-DA41PL3-V3-0280 4.0 Mpix venkovní IP dome kamera s IR přísvitem","atos","83.14","Skladom","atos","179.98","Skladom"
"5907813655364","Konektor F BlueLine BLC010 EX49/83 kompresní","atos","0.31","Skladom","atos","4.08","Skladom"
"8588003477897","Homatics STICK 4K Google  TV","kb","61.11","1-2 ks skladom","atos","62.88","Skladom"
"6935750553305","Merač izolačného odporu Uni-T UT533","innpro","148.66","Skladom","atos","171.43","Na objednávku"
"8594196538741","Sixtol Sada nářadí HOME PINK 88","kb","27.44","1-2 ks skladom","atos","33.31","Skladom"
"6935750566329","Uni-T UT663B endoskop","innpro","109.86","Skladom","atos","137.69","Na objednávku"
"6935750566336","Uni-T UT663B-2m endoskop","innpro","135.18","Skladom","atos","168.36","Skladom"
"6935750566343","Uni-T UT663B-3m endoskop","innpro","179.9","Skladom","atos","217.43","Skladom"
"6935750511602","Recenzia zariadenia SMD Uni-T UT116A","innpro","20.16","Skladom","atos","22.66","Skladom"
"6935750511626","Tester SMD UNI-T UT116C","innpro","13.5","Skladom","atos","17.14","Skladom"
"8595092106133","Solight skúšačka 201, priemer 3mm x 140mm, AC napätie kontaktne: 70 - 250V","solight","0.42","Skladom","atos","0.86","Skladom"
"8424450137550","Kabel koaxiální Televes T-100 Cu 2126 / 100m / 6,6 mm","atos","0.52","Skladom","atos","0.72","Skladom"
"5905548282848","Kabelová vývodka PG-13.5, IP68, 6-12mm, s maticí, šedá RAL 7035","atos","0.35","Skladom","atos","0.62","Skladom"
"6935750522035","Skúšačka napätia AC/DC UNI-T UT22B-EU","innpro","10.36","Skladom","atos","11.93","Skladom"
"9120072379208","Strong LEAP-S3 V2 Google TV box","kb","47.06","6-20 ks skladom","atos","53.15","Skladom"
"8590225145621","Silový kabel pro pevné uložení CYKY-J 4x6 METRÁŽ","atos","3.92","Skladom","atos","5.98","Skladom"
"8595025326140","Koaxiální kabel Emos CB113UV / 250m / 7 mm venkovní","atos","0.39","Skladom","atos","0.62","Skladom"
"745178459044","CP-PR-124 Přídavný montážní nástavec otevřený","atos","8.58","Skladom","atos","8.58","Skladom"
"4250593400000","CP-DNW-GPU8G2F2-96 Osmiportový 10/100/1000 Mbps PoE switch s 2x 1000 Mbps a 2x SFP uplinkem","atos","78.81","Skladom","atos","79.24","Skladom"
"4250593400000","CP-DNW-GPU8G2F2-96 Osmiportový 10/100/1000 Mbps PoE switch s 2x 1000 Mbps a 2x SFP uplinkem","atos","78.81","Skladom","atos","268.69","Skladom"
"6935750560259","Digitálny multimeter UNI-T UT60BT s Bluetooth","innpro","25.04","Skladom","atos","30.36","Skladom"
"8595689803070","Alma 1660 Dongle","kb","14.02","6-20 ks skladom","atos","15.81","Skladom"
"5906881447987","CP-PR-104 Ventilátor s termostatem 45C° pro uzamykatelné skříňky na DVR / NVR rekordéry","atos","51.06","Skladom","atos","74.23","Skladom"
"6935750560273","Laserový diaľkomer Uni-T LM60T","innpro","25.49","Skladom","atos","33.43","Skladom"
"6935750530634","Infračervený teplomer UNI-T UT306C","innpro","12.14","Skladom","atos","12.24","Skladom"
"8591043105743","Silový vodič H07V-U 6,00 žlutozelená (CY)","atos","0.78","Skladom","atos","5.15","Skladom"
"8595025309662","Emos P0111 Prodluž.kabel 1,5 m, 1 mm2","kb","2.64","1-2 ks skladom","atos","2.68","Skladom"
"8594196539953","Sixtol Kšiltovka s LED světlem červená","kb","5.59","1-2 ks skladom","atos","6.77","Skladom"
"6935750565827","Recenzia zariadenia USB Uni-T UT658B","innpro","6.74","Skladom","atos","7.33","Skladom"
"6935750532034","Kontaktný teplomer Uni-T UT320A","innpro","11.72","Skladom","atos","13.17","Skladom"
"6935750537305","Bezkontaktný tachometer UNI-T UT373","innpro","14.5","Skladom","atos","21.45","Skladom"
"4250593440000","CP-UNC-WD21L2-VMD 2.0 Mpix venkovní IP antivandal dome kamera s IR, WDR, Starlight a mikrofonem","atos","121.03","Skladom","atos","236.13","Skladom"
"8595689803087","Tesla TE-222 Dongle, DVB-T2 přijímač","kb","17.58","1-2 ks skladom","atos","20.92","Skladom"
"6972185560430","Bezdrôtový adaptér Carlinkit 2AIR","innpro","23.5","Skladom","atos","24.82","Skladom"
"5412810249343","Kabel PC UTP CAT5e 1m + 2x RJ45","atos","0.83","Skladom","atos","2.68","Skladom"
