znacka;model;dodavatelia;najnizsia_cena;najvyssia_cena;rozdiel;najlacnejsi;eany;nazov_atos;nazov_basys;nazov_innpro;nazov_kb;nazov_penta
TP-Link;RV30;kb+penta;150.50;460.50;3.06x;penta;kb:8885020625134 | penta:8885020625165;;;;TP-Link Tapo RV30 Max Plus;Vysávač TP-Link Tapo RV30 Max robotický s mopom, výkon 5300 Pa
Tesla;TE300;atos+kb;8.30;21.90;2.64x;atos;atos:8595689800345 | kb:8594163278311;Diaľkový ovládač Tesla TE-300, TE-301, TE-302, Alma 2820;;;Tesla TE-300;
EPEVER;DR2210;atos+penta;60.90;138.90;2.28x;penta;atos:6974241250330 | penta:-;Solární regulátor MPPT EPever DR2210-DDS, 12/24V, 20A, 100V DuoRacer;;;;Regulátor Epever EPsolar DR2210-DDS solárny MPPT, 12/24V, 20A, vstup 100V, DuoRacer
TP-Link;L530E;kb+penta;11.50;23.90;2.08x;kb;kb:6935364030988 | penta:6935364006167;;;;TP-LINK Tapo L530E;Múdra žiarovka TP-Link Tapo L530E(2-pack) E27, 8,7W, 230V, cez IP, stmievateľná, 2700K až 6500K
MHPower;MPL500;atos+penta;97.90;194.50;1.99x;penta;atos:- | penta:8594199732245;Záložní zdroj MHPower MPL-500-12 UPS 500W 12V čistý sin LiFePO4 + BATERIE;;;;Napäťový menič MHPower MPL-500-12 UPS, 500W, čistý sínus, 12V, podpora LiFePO4 batérií
MHPower;MPL700;atos+penta;115.90;219.90;1.90x;penta;atos:- | penta:8594199732252;Záložní zdroj MHPower MPL-700-12 UPS 700W 12V čistý sin LiFePO4 + BATERIE;;;;Napäťový menič MHPower MPL-700-12 UPS, 700W, čistý sínus, 12V, podpora LiFePO4 batérií
MHPower;MPL1050;atos+penta;158.00;263.50;1.67x;penta;atos:- | penta:8594199732269;Záložní zdroj MHPower MPL-1050-12 UPS 1050W 12V čistý sin LiFePO4 + BATERIE;;;;Napäťový menič MHPower MPL-1050-12 UPS, 1050W, čistý sínus, 12V, podpora LiFePO4 batérií
UNI-T;UT12D;atos+innpro;6.10;10.00;1.64x;innpro;atos:5901890057097 | innpro:6935750512395;Detektor napětí UNI-T  UT12D-EU;;Uni-T UT12D-EU Bezkontaktný tester napätia;;
MHPower;MPU300;atos+penta;74.50;117.50;1.58x;penta;atos:- | penta:8594199730012;Záložní zdroj MHPower MPU-300-12 UPS 300W 12V čistý sinus + baterie;;;;Napäťový menič MHPower MPU-300-12 záložní zdroj, 12V/230V, 300W, funkce UPS, čistý sinus
TP-Link;RVA100;kb+penta;13.90;21.50;1.55x;penta;kb:4895252500486 | penta:-;;;;TP-Link Tapo RVA100;Príslušenstvo TP-Link Tapo RVA100 sada na výmenu vysávača Tapo, poškodený obal
