kategoria;pocet_produktov;priemerny_zisk_eur;priemerna_marza_pct;pokrytie_marze;priemerna_cena;podiel_pod_066e_pct;dodavatelia
(bez kategórie);4;3.53;5.2;4;89.85;0;solight
Auto-moto;2108;3.67;13.4;2108;39.21;1;atos, innpro, kb, solight
Elektroinštalačný materiál;4264;3.88;19.7;4264;34.81;4;atos, kb, solight
Náradie a dielňa;2040;4.57;12.7;2040;50.20;5;atos, innpro, kb, solight
Zdravie a starostlivosť;833;4.71;11.4;833;57.67;1;atos, innpro, kb, solight
Záhrada;688;4.74;13.5;688;51.51;0;atos, innpro, kb
Bezpečnosť a smart domácnosť;1045;6.13;14.6;1045;59.27;2;atos, innpro, kb, solight
Domáce spotrebiče;3020;7.17;10.5;3020;121.91;0;atos, innpro, kb, solight
Fotovoltaika a energie;1066;8.99;13.8;1066;88.81;18;atos, innpro, kb, solight
Dróny a RC modely;374;9.07;14.6;374;90.19;0;innpro
TV, audio a video;7281;9.10;13.4;7252;125.06;1;atos, innpro, kb, solight, wiim
Šport, hračky a voľný čas;1372;12.26;12.1;1372;131.24;0;atos, innpro, kb
Kreatívne technológie;627;67.98;14.1;627;699.82;0;innpro
Profesionálna audio technika;1800;;;0;241.18;0;monacor
