"code";"pairCode";"name";"guid";"externalId";"ean";"productNumber";"serialNumber";"defaultCategory";"categoryText";"categoryText2";"categoryText3";"categoryText4";"categoryText5";"categoryText6";"categoryText7";"categoryText8";"categoryText9";"categoryText10";"xmlFeedName";""
"KB_182250445221";"";"CANON PG-40BK Black";"118ec946-92ac-11f1-a793-bc2411833e01";"";"4960999273372";"";"";"TV, audio a video > Počítače a príslušenstvo > Tlačiarne a skenery > Atramenty";"TV, audio a video > Počítače a príslušenstvo > Tlačiarne a skenery > Atramenty";"";"";"";"";"";"";"";"";"";"Canon 0615B001 - originálny";""
"KB_340520055652";"";"MAXXO DH 919 Extra Tea";"13c33bb6-92ac-11f1-a610-bc2411833e01";"";"8595235803059";"";"";"Domáce spotrebiče > Malé spotrebiče > Nádobie > Poháre a fľaše";"Domáce spotrebiče > Malé spotrebiče > Nádobie > Poháre a fľaše";"";"";"";"";"";"";"";"";"";"Maxxo SKLENICE EXTRA TEA 480 ml";""
"KB_410210585387";"";"HP 301 Tri-colour, CH562EE";"16237682-92ac-11f1-8bef-bc2411833e01";"";"884962894514";"";"";"TV, audio a video > Počítače a príslušenstvo > Tlačiarne a skenery > Atramenty";"TV, audio a video > Počítače a príslušenstvo > Tlačiarne a skenery > Atramenty";"";"";"";"";"";"";"";"";"";"HP CH562EE - originálny";""
"KB_410210975387";"";"HP 302 Black, F6U66AE";"162d2024-92ac-11f1-8e2f-bc2411833e01";"";"888793803035";"";"";"TV, audio a video > Počítače a príslušenstvo > Tlačiarne a skenery > Atramenty";"TV, audio a video > Počítače a príslušenstvo > Tlačiarne a skenery > Atramenty";"";"";"";"";"";"";"";"";"";"HP F6U66AE - originálny";""
"KB_410212087909";"";"KMP C88 / CL-541XL";"16f3ad52-92ac-11f1-8686-bc2411833e01";"";"4011324151732";"";"";"TV, audio a video > Počítače a príslušenstvo > Tlačiarne a skenery > Atramenty";"TV, audio a video > Počítače a príslušenstvo > Tlačiarne a skenery > Atramenty";"";"";"";"";"";"";"";"";"";"KMP Canon CL-541 XL - kompatibilný";""
"KB_410230295221";"";"CANON PGI-570XL PGBK Black";"16fd15c2-92ac-11f1-8400-bc2411833e01";"";"4549292032826";"";"";"TV, audio a video > Počítače a príslušenstvo > Tlačiarne a skenery > Atramenty";"TV, audio a video > Počítače a príslušenstvo > Tlačiarne a skenery > Atramenty";"";"";"";"";"";"";"";"";"";"Canon 0318C001 - originálny";""
"KB_410210177909";"";"KMP C58 / CL-41";"1737a282-92ac-11f1-b52f-bc2411833e01";"";"4011324150117";"";"";"TV, audio a video > Počítače a príslušenstvo > Tlačiarne a skenery > Atramenty";"TV, audio a video > Počítače a príslušenstvo > Tlačiarne a skenery > Atramenty";"";"";"";"";"";"";"";"";"";"KMP Canon CL-41 - kompatibilný";""
"KB_410210935387";"";"HP 652 Black, F6V25AE";"17b1e5f6-92ac-11f1-ab13-bc2411833e01";"";"889296160939";"";"";"TV, audio a video > Počítače a príslušenstvo > Tlačiarne a skenery > Atramenty";"TV, audio a video > Počítače a príslušenstvo > Tlačiarne a skenery > Atramenty";"";"";"";"";"";"";"";"";"";"HP F6V25AE - originálny";""
"KB_410210355221";"";"CANON PGI-550BK Black";"185c5522-92ac-11f1-9012-bc2411833e01";"";"4960999904580";"";"";"TV, audio a video > Počítače a príslušenstvo > Tlačiarne a skenery > Atramenty";"TV, audio a video > Počítače a príslušenstvo > Tlačiarne a skenery > Atramenty";"";"";"";"";"";"";"";"";"";"Canon 6496B001 - originálny";""
"KB_410210465221";"";"CANON CLI-571 XL Y Yellow";"1866da56-92ac-11f1-ae18-bc2411833e01";"";"4549292032888";"";"";"TV, audio a video > Počítače a príslušenstvo > Tlačiarne a skenery > Atramenty";"TV, audio a video > Počítače a príslušenstvo > Tlačiarne a skenery > Atramenty";"";"";"";"";"";"";"";"";"";"Canon 0334C001 - originálny";""
"KB_410210485221";"";"CANON CLI-571 XL C Cyan";"1870ce30-92ac-11f1-8dc5-bc2411833e01";"";"4549292032857";"";"";"TV, audio a video > Počítače a príslušenstvo > Tlačiarne a skenery > Atramenty";"TV, audio a video > Počítače a príslušenstvo > Tlačiarne a skenery > Atramenty";"";"";"";"";"";"";"";"";"";"Canon 0332C001 - originálny";""
"KB_410210615387";"";"HP 301 Black, CH561EE";"187bcb28-92ac-11f1-ba85-bc2411833e01";"";"884962894415";"";"";"TV, audio a video > Počítače a príslušenstvo > Tlačiarne a skenery > Atramenty";"TV, audio a video > Počítače a príslušenstvo > Tlačiarne a skenery > Atramenty";"";"";"";"";"";"";"";"";"";"HP CH561EE - originálny";""
"KB_410214457909";"";"KMP H76 (CH564EE)";"18a43036-92ac-11f1-8b12-bc2411833e01";"";"4011324172034";"";"";"TV, audio a video > Počítače a príslušenstvo > Tlačiarne a skenery > Atramenty";"TV, audio a video > Počítače a príslušenstvo > Tlačiarne a skenery > Atramenty";"";"";"";"";"";"";"";"";"";"KMP HP CH564EE - kompatibilný";""
"KB_341950068119";"";"LEIFHEIT Sací hubice 17 cm";"198d33da-92ac-11f1-bc32-bc2411833e01";"";"4006501510075";"";"";"Domáce spotrebiče > Malé spotrebiče > Upratovacie pomôcky > Čističe okien";"Domáce spotrebiče > Malé spotrebiče > Upratovacie pomôcky > Čističe okien";"";"";"";"";"";"";"";"";"";"Leifheit 51007 sacia hubica 17 cm";""
"KB_491200098119";"";"Leifheit Thermo Reflect L/Universal";"1a93c8e8-92ac-11f1-bd7d-bc2411833e01";"";"4006501716088";"";"";"Domáce spotrebiče > Malé spotrebiče > Príslušenstvo k malým spotrebičom > Príslušenstvo k žehlenie";"Domáce spotrebiče > Malé spotrebiče > Príslušenstvo k malým spotrebičom > Príslušenstvo k žehlenie";"";"";"";"";"";"";"";"";"";"Leifheit Thermo Reflect Universal 71608";""
"KB_491500014462";"";"BWT náhradní filtry Mg2+ 3ks";"1aad4e94-92ac-11f1-b660-bc2411833e01";"";"9022001909848";"";"";"Domáce spotrebiče > Malé spotrebiče > Príprava nápojov > Príslušenstvo pre filtračné kanvice";"Domáce spotrebiče > Malé spotrebiče > Príprava nápojov > Príslušenstvo pre filtračné kanvice";"";"";"";"";"";"";"";"";"";"BWT Longlife Mg2+ 3 ks";""
"KB_410210665387";"";"HP 650 Black, CZ101AE";"1b14ddac-92ac-11f1-8f47-bc2411833e01";"";"886112545987";"";"";"TV, audio a video > Počítače a príslušenstvo > Tlačiarne a skenery > Atramenty";"TV, audio a video > Počítače a príslušenstvo > Tlačiarne a skenery > Atramenty";"";"";"";"";"";"";"";"";"";"HP CZ101AE - originálny";""
"KB_999000127909";"";"KMP B-T55 (TN 1050)";"1c46389c-92ac-11f1-8179-bc2411833e01";"";"4011324126006";"";"";"TV, audio a video > Počítače a príslušenstvo > Tlačiarne a skenery > Tonery";"TV, audio a video > Počítače a príslušenstvo > Tlačiarne a skenery > Tonery";"";"";"";"";"";"";"";"";"";"KMP Brother TN-1050 - kompatibilný";""
"KB_410210945387";"";"HP 652 Tri-colour, F6V24AE";"1cd02ffc-92ac-11f1-b7ae-bc2411833e01";"";"889296160892";"";"";"TV, audio a video > Počítače a príslušenstvo > Tlačiarne a skenery > Atramenty";"TV, audio a video > Počítače a príslušenstvo > Tlačiarne a skenery > Atramenty";"";"";"";"";"";"";"";"";"";"HP F6V24AE - originálny";""
