kod;nazov;dostupnost;dalsia_dodavka
030247;Inteligentný termostatický ventil Meross MTS150HK (HomeKit);Na objednávku;
030890;Inteligentný samočistiaci odpadkový kôš pre mačky Catlink Scooper Young Version;Na objednávku;
030904;Schody pre podstielky Catlink Scooper;Na objednávku;
030906;Náhradné filtre pre Catlink litter box Scooper 2ks.;Dostupné od 23.09.2026;23.09.2026
031529;Vrecko na odpadky pre mačky Catlink pre Scooper 2x20ks;Na objednávku;
040667;CATLINK Pro-X Luxury Version – samočistiaca toaleta pre mačky;Na objednávku;
041177;Inteligentný samočistiaci záchod pre mačky Catlink Pro-X Štandardná verzia;Na objednávku;
041475;Schodík pred mačaciu toaletu Catlink Scooper (sivé);Dostupné od 23.09.2026;23.09.2026
048950;Inteligentný samočistiaci odpadkový kôš pre mačky Catlink BayMax Verzia;Dostupné od 21.09.2026;21.09.2026
050713;Slúchadlá TWS Baseus Bowie WX5 (modré);Na objednávku;
052013;Schodíky pre Catlink BayMax Litter Box;Na objednávku;
053427;Vodná fontána pre domáce zvieratá Catlink Pure 3;Dostupné od 23.09.2026;23.09.2026
054994;Vrecko na odpadky pre mačaciu toaletu Catlink Baymax 2ks;Na objednávku;
054997;Inteligentný dávkovač krmiva CatLink F04 PRO;Na objednávku;
054999;Inteligentný dávkovač krmiva CatLink F04 STD;Na objednávku;
056789;Náhradný filter pre napájadlo Catlink;Na objednávku;
058841;Selfie tyč Puluz pre športové fotoaparáty (čierna);Dostupné od 03.11.2026;03.11.2026
060028;Catlink BayMax Lite intelligent self-cleaning cat litter box;Dostupné od 21.09.2026;21.09.2026
063459;Inteligentná sušička pre domáce zvieratá Catlink Luxury;Na objednávku;
063460;Smart pet dryer PetKit AIRSALON MAX Pro;Na objednávku;
063923;Etui ochronne Baseus Simple Pad (2017/2018) 9.7" (przeźroczyste);Na objednávku;
066919;Catlink Fresh smart odor absorber;Dostupné od 23.09.2026;23.09.2026
066928;Replacement filters for Catlink Pure 2 (2 pcs);Na objednávku;
071558;Neakasa P2 PRO vacuum cleaner / pet hair grooming kit;Dostupné od 17.11.2026;17.11.2026
071845;Matt for litter box Baymax / Baymax Lite Catlink CL-SL-01;Dostupné od 23.09.2026;23.09.2026
073686;Clutch Pedal Moza Racing SR-P RS111;Na objednávku;
074030;SONOFF MINI-D Smart WiFi Matter Switch (AC/DC 12-48V, suchý kontakt);Dostupné od 27.10.2026;27.10.2026
074246;Catlink Scooper Pro Ultra inteligentný samočistiaci box pre mačky;Na objednávku;
074750;MOVA Turbo sušič vlasov (ružový);Na objednávku;
074759;Čistiaci robot MOVA Z50 Ultra;Na objednávku;
075480;Fén na vlasy MOVA Shine 10 (strieborný);Na objednávku;
078248;Bezdrôtový adaptér Carlinkit MINI ULTRA Carplay a Android auto;Dostupné od 14.09.2026;14.09.2026
078677;FNIRSI 2C53T 3 v 1 prenosný osciloskop multimeter generátor signálu;Dostupné od 17.09.2026;17.09.2026
078696;Mini generátor signálu FNIRSI SG-003A;Dostupné od 27.10.2026;27.10.2026
078883;Flytec V050 12000mah návnada loď (čierna);Dostupné od 29.09.2026;29.09.2026
079309;Rýchloupínač s 0,4 mm tryskou pre Anycubic Kobra S1;Dostupné od 27.10.2026;27.10.2026
079343;Fén na vlasy MOVA Shine 20 (strieborný);Na objednávku;
079558;Fritéza MOVA AF20 Pro bez tuku;Na objednávku;
080015;Digitálny fotorámik Arzopa D14 Golden (zlatý);Dostupné od 18.11.2026;18.11.2026
080538;Kávovar MOVA Virtuoso 10 Pro (biely);Na objednávku;
080701;Elektrická zubná kefka MOVA Fresh 20 Sensus (biela);Na objednávku;
081307;Staničný vertikálny vysávač MOVA G70;Na objednávku;
081417;Catlink Mixed Cat Litter;Na objednávku;
081492;Catlink Open X inteligentná samočistiaca toaleta pre mačky (biela);Dostupné od 21.09.2026;21.09.2026
081494;Catlink Open X vrecká do toaletných misiek;Na objednávku;
081985;Fritéza MOVA FD10 Pro Max (čierna);Dostupné od 05.10.2026;05.10.2026
082187;Čistička vzduchu MOVA Stellar X10;Na objednávku;
082455;Čistička vzduchu MOVA Stellar X10 Plus (zlatá);Na objednávku;
083366;Torba Sunnylife do Action 6 (czarna);Dostupné od 18.11.2026;18.11.2026
083621;Fritéza MOVA FD10s Pro (čierna);Na objednávku;
084957;Uni-T UT667-10m endoskop;Na objednávku;
084961;Uni-T UT665P endoskop;Na objednávku;
085443;LONGER RAY5 mini 3,5 W laserový gravír;Na objednávku;
085718;Webová kamera EMEET Pixy;Dostupné od 24.09.2026;24.09.2026
086347;Projektor Magcubic HY320MINI;Na objednávku;
087945;Stupienok k toaletnému boxu s pohlcovačom zápachu Neakasa AirStep;Dostupné od 17.11.2026;17.11.2026
088003;Bezdrôtový adaptér Carlinkit 2AIR-T pre CarPlay/Android Auto;Dostupné od 14.09.2026;14.09.2026
088338;Dezodorizačná tyčinka MOVA do nádrže na odpadovú vodu;Na objednávku;
088340;Vrecúško na odpad MOVA pre model L20;Na objednávku;
088521;Súprava detektora dymu X-SENSE FS31;Na objednávku;
088632;Kryt objektívu Sunnylife pre OSMO 360;Dostupné od 17.09.2026;17.09.2026
088729;TERMOVÍZNA KAMERA THERMAL MASTER P2 USB-C Mini;Na objednávku;
088731;TERMOVÍZNA KAMERA THERMAL MASTER P2 Pro USB-C Mini;Na objednávku;
088734;TERMOVÍZNA KAMERA THERMAL MASTER P4 USB-C Mini;Na objednávku;
088746;Termovízna kamera THERMAL MASTER X2 USB-C;Na objednávku;
088747;TERMOVÍZNA KAMERA THERMAL MASTER X2 USB-C Mini;Na objednávku;
088748;Termovízna kamera THERMAL MASTER X3;Na objednávku;
088750;Termovízna kamera THERMAL MASTER T2Max;Na objednávku;
088751;Termovízna kamera THERMAL MASTER DV2;Na objednávku;
088870;Nabíjacia stanica FOSSIBOT F2400 2400 W (čierna);Dostupné od 17.09.2026;17.09.2026
089170;Batoh FunWater SUP (sivý);Na objednávku;
089567;Príslušenstvo k batériám MOVA S5 Sense;Na objednávku;
089568;Príslušenstvo k batériám MOVA I10;Na objednávku;
089570;Batéria MOVA S7;Na objednávku;
089571;Príslušenstvo k batérii MOVA S1;Na objednávku;
089584;Bočná kefa MOVA pre modely E10/E20/E20s;Na objednávku;
089983;FLYTEC V030 Základná loď na návnadu + batéria;Na objednávku;
089984;Lodica na návnadu FLYTEC V030 s vyhľadávačom + batériou;Na objednávku;
089985;FLYTEC V080 Základná loď na návnadu + batéria;Na objednávku;
089986;Lodička na návnadu FLYTEC V080 s vyhľadávačom + batériou;Na objednávku;
093229;Okuliare EVEN REALITIES G2B AR (šedé);Dostupné od 22.09.2026;22.09.2026
43365;Svetlo na bicykel Superfire BL12, 4800mAh, USB;Na objednávku;
43368;Svetlo na bicykel Superfire BL09, 450 lm, USB;Na objednávku;
