kategoria;url;presmeruje_na;je_v_nasich_csv
3D tlač a digitálna výroba > 3D tlačiarne a materiály > 3D tlačiarne;/3d-tlaciarne/;/3d-tlac/;nie
3D tlač a digitálna výroba > 3D tlačiarne a materiály > Príslušenstvo k 3D tlačiarňam;/prislusenstvo-pre-3d-tlaciarne/;/3d-tlac/;nie
Auto-moto > Garáž, dielňa, servis > Autodiagnostika;/autodiagnostika/;/garaz--dielna--servis/;nie
Auto-moto > Garáž, dielňa, servis > Autoplachty a ochranné kryty;/autoplachty/;/garaz--dielna--servis/;nie
Auto-moto > Garáž, dielňa, servis > Heváky a zdviháky;/hevaky-a-zdvihaky/;/garaz--dielna--servis/;nie
Auto-moto > Príslušenstvo do auta > Autokoberce;/autokoberce/;/vybavenie-auta/;nie
Auto-moto > Príslušenstvo do auta > Autopoťahy a ochrana sedadiel;/autopotahy/;/vybavenie-auta/;nie
Auto-moto > Príslušenstvo do auta > Cestovné doplnky;/cestovne-doplnky/;/vybavenie-auta/;nie
Auto-moto > Príslušenstvo do auta > Clony, roletky a poistky;/clony-a-roletky/;/vybavenie-auta/;nie
Auto-moto > Príslušenstvo do auta > Osviežovače vzduchu;/osviezovace-vzduchu/;/vybavenie-auta/;nie
Auto-moto > Príslušenstvo do auta > Stierače;/stierace/;/vybavenie-auta/;nie
Cestovanie, šport a outdoor > Posilňovanie a fitness > Trenažéry;/trenazery/;/posilnovanie-a-fitness/;nie
Chovateľské potreby > Starostlivosť o zvieratá;/starostlivost-o-zvierata/;/chovatelske-potreby/;nie
Chovateľské potreby > Venčenie a transport;/vencenie-a-transport/;/chovatelske-potreby/;nie
Dielňa, náradie a záhrada > Meracia technika > Mikroskopy;/mikroskopy/;/cestovanie-sport-a-outdoor/;nie
Dielňa, náradie a záhrada > Ručné a elektrické náradie > Mechanické náradie > Kliešte;/klieste/;/mechanicke-naradie/;nie
Dielňa, náradie a záhrada > Ručné a elektrické náradie > Mechanické náradie > Kľúče;/kluce/;/sady-naradia/;nie
Elektro, Smart Home a osvetlenie > Inštalačné príslušenstvo > Káblové spojky a očká;/kablove-spojky/;/instalacne-prislusenstvo/;nie
Elektro, Smart Home a osvetlenie > Montážne skrine a rozvádzače > Rozvádzače osadené;/rozvadzace-osadene/;/montazne-skrine-a-rozvadzace/;nie
Elektro, Smart Home a osvetlenie > Montážne skrine a rozvádzače > Zásuvkové skrine;/zasuvkove-skrine/;/montazne-skrine-a-rozvadzace/;nie
Elektro, Smart Home a osvetlenie > Osvetlenie – svietidlá > LED pásiky a profily;/led-pasiky/;/led-osvetlenie/;nie
Elektro, Smart Home a osvetlenie > Osvetlenie – svietidlá > LED reflektory;/led-reflektory/;/led-osvetlenie/;nie
Elektro, Smart Home a osvetlenie > Osvetlenie – svietidlá > LED žiarovky;/led-ziarovky/;/led-osvetlenie/;nie
Elektro, Smart Home a osvetlenie > Predlžovacie káble a vidlice > Predlžovacie prívody;/predlzovacie-privody/;/predlzovacie-kable-a-vidlice/;nie
Elektro, Smart Home a osvetlenie > Predlžovacie káble a vidlice > Spínacie a časové zásuvky;/spinacie-zasuvky/;/predlzovacie-kable-a-vidlice/;nie
Elektro, Smart Home a osvetlenie > Profesionálne kamerové systémy > IP sieťové kamery;/ip-sietove-kamery/;/kamerove-systemy/;nie
Elektro, Smart Home a osvetlenie > Profesionálne kamerové systémy > Kamery 4v1;/kamery-4v1/;/kamerove-systemy/;nie
