fromUrl;toUrl;kategoria_ktora_na_tejto_url_zije;bola_v_nasich_csv
/3d-tlaciarne/;/3d-tlac/;3D tlač a digitálna výroba > 3D tlačiarne a materiály > 3D tlačiarne;ano
/anteny/;/anteny-a-satelity/;TV, audio, video a foto technika > Antény a satelity > Antény;ano
/autodiagnostika/;/garaz--dielna--servis/;Auto-moto > Garáž, dielňa, servis > Autodiagnostika;ano
/autokoberce/;/vybavenie-auta/;Auto-moto > Príslušenstvo do auta > Autokoberce;ano
/autoplachty/;/garaz--dielna--servis/;Auto-moto > Garáž, dielňa, servis > Autoplachty a ochranné kryty;ano
/autopotahy/;/vybavenie-auta/;Auto-moto > Príslušenstvo do auta > Autopoťahy a ochrana sedadiel;ano
/bezdrotove-sluchadla/;/audio-technika/;TV, audio, video a foto technika > Audio technika > Slúchadlá > Bezdrôtové slúchadlá;ano
/cestovne-doplnky/;/vybavenie-auta/;Auto-moto > Príslušenstvo do auta > Cestovné doplnky;ano
/clony-a-roletky/;/vybavenie-auta/;Auto-moto > Príslušenstvo do auta > Clony, roletky a poistky;ano
/domove-ventilatory/;/ventilacne-technika/;Elektro, Smart Home a osvetlenie > Vzduchotechnika a montážne príslušenstvo > Domové ventilátory;ano
/drotove-sluchadla/;/audio-technika/;TV, audio, video a foto technika > Audio technika > Slúchadlá > Drôtové slúchadlá;ano
/hevaky-a-zdvihaky/;/garaz--dielna--servis/;Auto-moto > Garáž, dielňa, servis > Heváky a zdviháky;ano
/ip-sietove-kamery/;/kamerove-systemy/;Elektro, Smart Home a osvetlenie > Profesionálne kamerové systémy > IP sieťové kamery;ano
/kable-pre-fotovoltaiku/;/fotovoltaika/;Energia a napájanie > Fotovoltaika > Káble a konektory pre fotovoltaiku;ano
/kablove-spojky/;/instalacne-prislusenstvo/;Elektro, Smart Home a osvetlenie > Inštalačné príslušenstvo > Káblové spojky a očká;ano
/kamery-4v1/;/kamerove-systemy/;Elektro, Smart Home a osvetlenie > Profesionálne kamerové systémy > Kamery 4v1;ano
/klieste/;/mechanicke-naradie/;Dielňa, náradie a záhrada > Ručné a elektrické náradie > Mechanické náradie > Kliešte;ano
/kluce/;/sady-naradia/;Dielňa, náradie a záhrada > Ručné a elektrické náradie > Mechanické náradie > Kľúče;ano
/koaxialne-kable/;/anteny-a-satelity/;TV, audio, video a foto technika > Antény a satelity > Koaxiálne káble a konektory;ano
/led-pasiky/;/led-osvetlenie/;Elektro, Smart Home a osvetlenie > Osvetlenie – svietidlá > LED pásiky a profily;ano
/led-reflektory/;/led-osvetlenie/;Elektro, Smart Home a osvetlenie > Osvetlenie – svietidlá > LED reflektory;ano
/led-ziarovky/;/led-osvetlenie/;Elektro, Smart Home a osvetlenie > Osvetlenie – svietidlá > LED žiarovky;ano
/lifepo4-akumulatory/;/akumulatory-a-baterie/;Energia a napájanie > Akumulátory a batérie > LiFePO4 akumulátory;ano
/lnb-konvertory/;/anteny-a-satelity/;TV, audio, video a foto technika > Antény a satelity > LNB konvertory;ano
/mikroskopy/;/cestovanie-sport-a-outdoor/;Dielňa, náradie a záhrada > Meracia technika > Mikroskopy;ano
/olovene-akumulatory/;/akumulatory-a-baterie/;Energia a napájanie > Akumulátory a batérie > Olovené akumulátory;ano
/osviezovace-vzduchu/;/vybavenie-auta/;Auto-moto > Príslušenstvo do auta > Osviežovače vzduchu;ano
/paraboly/;/anteny-a-satelity/;TV, audio, video a foto technika > Antény a satelity > Satelitné paraboly;ano
/pasivne-prvky/;/anteny-a-satelity/;TV, audio, video a foto technika > Antény a satelity > Pasívne prvky a rozbočovače;ano
/predlzovacie-privody/;/predlzovacie-kable-a-vidlice/;Elektro, Smart Home a osvetlenie > Predlžovacie káble a vidlice > Predlžovacie prívody;ano
/prepojovacie-listy/;/rozvadzacove-prvky/;Elektro, Smart Home a osvetlenie > Rozvádzačové prvky > Prepojovacie lišty a mostíky;ano
/priemyselne-ventilatory/;/ventilacne-technika/;Elektro, Smart Home a osvetlenie > Vzduchotechnika a montážne príslušenstvo > Priemyselné ventilátory;ano
/prislusenstvo-pre-3d-tlaciarne/;/3d-tlac/;3D tlač a digitálna výroba > 3D tlačiarne a materiály > Príslušenstvo k 3D tlačiarňam;ano
/radia/;/audio-technika/;TV, audio, video a foto technika > Audio technika > Rádiá;ano
/revizne-dvierka/;/montazne-skrine-a-rozvadzace/;Elektro, Smart Home a osvetlenie > Vzduchotechnika a montážne príslušenstvo > Revízne dvierka;ano
/rozvadzace-osadene/;/montazne-skrine-a-rozvadzace/;Elektro, Smart Home a osvetlenie > Montážne skrine a rozvádzače > Rozvádzače osadené;ano
/satelitne-prijimace/;/anteny-a-satelity/;TV, audio, video a foto technika > Antény a satelity > Satelitné prijímače a set-top boxy;ano
/satelitne-prislusenstvo/;/anteny-a-satelity/;TV, audio, video a foto technika > Antény a satelity > Satelitné príslušenstvo;ano
/sluchadla/;/audio-technika/;TV, audio, video a foto technika > Audio technika > Slúchadlá;ano
/solarne-panely/;/fotovoltaika/;Energia a napájanie > Fotovoltaika > Solárne panely;ano
/solarne-regulatory/;/fotovoltaika/;Energia a napájanie > Fotovoltaika > Solárne regulátory;ano
/soundbary/;/audio-technika/;TV, audio, video a foto technika > Audio technika > Soundbary;ano
/spinacie-zasuvky/;/predlzovacie-kable-a-vidlice/;Elektro, Smart Home a osvetlenie > Predlžovacie káble a vidlice > Spínacie a časové zásuvky;ano
/starostlivost-o-zvierata/;/chovatelske-potreby/;Chovateľské potreby > Starostlivosť o zvieratá;ano
/stierace/;/vybavenie-auta/;Auto-moto > Príslušenstvo do auta > Stierače;ano
/trenazery/;/posilnovanie-a-fitness/;Cestovanie, šport a outdoor > Posilňovanie a fitness > Trenažéry;ano
