ean;stara_url;stary_nazov;stara_kategoria;najdena_kategoria;cesta_kategorie;nova_url_kategorie;skore;pocet_zhod;istota
AST-345;https://premiumstore.sk/baterie-lifepo4-12-8v-345ah-solarfam-ast-345-s-vyhrevem-bluetooth#75147;Baterie LiFePO4 12,8V 345Ah SOLARFAM AST-345 s výhřevem, Bluetooth;Druhy | ENERGIE | Akumulátory | LiFePO4 akumulátory;LiFePO4 akumulátory;Fotovoltaika a energie > Akumulátory a batérie > LiFePO4 akumulátory;lifepo4-akumulatory;25.95;4;VYSOKA
MPL-1200-12;https://premiumstore.sk/zalozni-zdroj-mhpower-mpl-1200-12-ups-1200w-12v-cisty-sinus-podpora-lifepo4#75146;Záložní zdroj MHPower MPL-1200-12 UPS 1200W 12V čistý sinus podpora LiFePO4;Druhy | ENERGIE | Záložní zdroje a UPS | Záložní zdroje pro oběhová čerpadla;Záložné zdroje pre oběhová čerpadlá;Fotovoltaika a energie > Záložné zdroje a UPS > Záložné zdroje pre oběhová čerpadlá;zalozne-zdroje-pre-obehova-cerpadla;27.28;4;VYSOKA
MPL-1050-12;https://premiumstore.sk/zalozni-zdroj-mhpower-mpl-1050-12-ups-1050w-12v-cisty-sinus-podpora-lifepo4#75145;Záložní zdroj MHPower MPL-1050-12 UPS 1050W 12V čistý sinus podpora LiFePO4;Druhy | ENERGIE | Záložní zdroje a UPS | Záložní zdroje pro oběhová čerpadla;Záložné zdroje pre oběhová čerpadlá;Fotovoltaika a energie > Záložné zdroje a UPS > Záložné zdroje pre oběhová čerpadlá;zalozne-zdroje-pre-obehova-cerpadla;27.28;4;VYSOKA
WPU-1050-12;https://premiumstore.sk/zalozni-zdroj-mhpower-wpu-1050-12-ups-1050w-cisty-sinus-12v#75135;Záložní zdroj MHPower WPU-1050-12, UPS, 1050W, čistý sinus, 12V;Druhy | ENERGIE | Záložní zdroje a UPS | Záložní zdroje pro oběhová čerpadla;Záložné zdroje pre oběhová čerpadlá;Fotovoltaika a energie > Záložné zdroje a UPS > Záložné zdroje pre oběhová čerpadlá;zalozne-zdroje-pre-obehova-cerpadla;27.28;4;VYSOKA
MPU-1600-12;https://premiumstore.sk/zalozni-zdroj-mhpower-mpu-1600-12-ups-1600w-12v-cisty-sinus#75118;Záložní zdroj MHPower MPU-1600-12 UPS 1600W 12V čistý sinus;ws.PEN Kategorie | Baterie,zdroje,nabíječky | Měniče napětí | 12V/230V;Televízory na 12V;TV, audio a video > Televízory > Televízory na 12V;televizory-na-12v;13.31;2;VYSOKA
MPU-1200-12;https://premiumstore.sk/zalozni-zdroj-mhpower-mpu-1200-12-ups-1200w-12v-cisty-sinus#75117;Záložní zdroj MHPower MPU-1200-12 UPS 1200W 12V čistý sinus;ws.PEN Kategorie | Baterie,zdroje,nabíječky | Měniče napětí | 12V/230V;Televízory na 12V;TV, audio a video > Televízory > Televízory na 12V;televizory-na-12v;13.31;2;VYSOKA
8001636952017;https://premiumstore.sk/kabelova-vyvodka-pg-9-scame-805-3341-ip66-4-8mm-s-matici#75056;Kabelová vývodka PG-9 SCAME 805.3341, IP66, 4-8mm, s maticí;Druhy | ELEKTROINSTALAČNÍ MATERIÁL | Rozvaděčové prvky | DIN lišty, průchodky a příslušenství;DIN lišty, průchodky a príslušenstvo;Elektroinštalačný materiál > Rozvádzačové prvky > DIN lišty, průchodky a príslušenstvo;din-listy--pruchodky-a-prislusenstvo;20.36;3;VYSOKA
P0055U;https://premiumstore.sk/cestovni-univerzalni-adapter-emos-p0055u-pro-cizince-do-stredni-evropy-1-usb-c-1-usb-a#74542;SKROSS Cestovní univerzální adaptér EMOS P0055U pro cizince do střední Evropy, 1×USB-C, 1×USB-A;;Autorádiá s USB;Auto-moto > Autorádiá > Autorádiá s USB;autoradia-s-usb;11.33;2;VYSOKA
KSP-D-B;https://premiumstore.sk/kabelova-stresni-pruchodka-s-mc4-konektory-cerna-double#74494;Xtend Solarmi Kabelová střešní průchodka s MC4 konektory, černá - DOUBLE;;Konektory MC4;Fotovoltaika a energie > Fotovoltaika > Konektory pre fotovoltaiku > Konektory MC4;konektory-mc4;13.20;2;VYSOKA
H4067;https://premiumstore.sk/kamera-emos-ip-1200-wasp-h4067-gosmart-venkovni-bateriova-otocna-s-wi-fi-a-solarnim-panelem#74424;Kamera EMOS IP-1200 WASP /H4067/ GoSmart venkovní bateriová otočná s Wi-Fi a solárním panelem;HITYshop | Elektronika | SMART produkty | Chytrá domácnost | SMART IP kamery;IP kamery;Bezpečnosť a smart domácnosť > IP kamery;ip-kamery-3;9.52;2;VYSOKA
