ean;stara_url;stary_nazov;stara_kategoria;najdena_kategoria;cesta_kategorie;nova_url_kategorie;skore;pocet_zhod;istota
P0055N;https://premiumstore.sk/cestovni-univerzalni-adapter-emos-p0055n-pro-cizince-do-stredni-evropy#75342;SKROSS Cestovní univerzální adaptér EMOS P0055N pro cizince do střední Evropy;Druhy | ELEKTROINSTALAČNÍ MATERIÁL | Prodlužky, zásuvky, vidlice | Adaptéry a redukce | Cestovní adaptéry;Bezdrôtové adaptéry CarPlay;Auto-moto > Bezdrôtové adaptéry CarPlay;bezdrotove-adaptery-carplay;5.74;1;NIZKA
L721182;https://premiumstore.sk/legrand-suno-zasuvka-dvojnasobna-bila#75310;Legrand Suno zásuvka dvojnásobná, bílá;ws.EMOS Kategorie | Instalační materiál | Zásuvky a vypínače | Zásuvky;Konektory, zásuvky;TV, audio a video > Počítače a príslušenstvo > Sieťové prvky > Konektory, zásuvky;konektory--zasuvky;4.58;1;NIZKA
PW56202;https://premiumstore.sk/hodiny-zavlazovaci-gosmart-emos-pw56202-bluetooth-5-0-2-vystupy#75263;Hodiny zavlažovací GoSmart EMOS PW56202, Bluetooth 5.0, 2 výstupy;Druhy | DŮM ZAHRADA | ZAHRADNÍ DOPLŇKY | Zavlažování | Zavlažovače;Zavlažovače;Záhrada > Záhradné doplnky > Zavlažovanie > Zavlažovače;zavlazovace;8.27;1;NIZKA
L721522;https://premiumstore.sk/legrand-suno-ramecek-dvojnasobny-cerny#75179;Legrand Suno rámeček dvojnásobný černý;ws.EMOS Kategorie | Instalační materiál | Zásuvky a vypínače | Rámečky;Rámečky;Elektroinštalačný materiál > Vypínače, zásuvky, krabice > Rámečky;ramecky;8.27;1;NIZKA
P0115R;https://premiumstore.sk/prodluzovaci-kabel-spojka-emos-p0115r-5-m-bily-pvc-1-5-mm2#75167;Prodlužovací kabel - spojka EMOS P0115R 5 m, bílý, PVC, 1,5 mm2;Druhy | ELEKTROINSTALAČNÍ MATERIÁL | Prodlužky, zásuvky, vidlice | Prodlužovací přívody | Délka 5m;Kabel s F konektory;TV, audio a video > Antény a satelity > Koaxiálne káble > Kabel s F konektory;kabel-s-f-konektory;7.86;1;NIZKA
P12114;https://premiumstore.sk/prodluzovaci-kabel-emos-p12114-1-4-m-2-zasuvky-s-vypinacem-bily-pvc-1-mm2#75137;Prodlužovací kabel EMOS P12114 / 1,4 m / 2 zásuvky / s vypínačem / bílý / PVC / 1 mm2;Druhy | ELEKTROINSTALAČNÍ MATERIÁL | Prodlužky, zásuvky, vidlice | Prodlužovací přívody | Délka 1,4m;Kabel s F konektory;TV, audio a video > Antény a satelity > Koaxiálne káble > Kabel s F konektory;kabel-s-f-konektory;7.86;1;NIZKA
V02G20;https://premiumstore.sk/nabijecka-usb-emos-v02g20-gan-pd-univerzalni-3a-20w-max#75090;Nabíječka USB EMOS V02G20 GaN PD univerzální 3A (20W) max.;Druhy | ELEKTRO | Mobily, tablety, příslušenství | GSM nabíječky;GSM nabíjačky;TV, audio a video > Mobily a tablety > GSM nabíjačky;gsm-nabijacky;7.86;1;NIZKA
V01B10;https://premiumstore.sk/nabijecka-usb-emos-v01b10-basic-univerzalni-2a-10w-max#75089;Nabíječka USB EMOS V01B10 BASIC univerzální 2A (10W) max.;Druhy | ELEKTRO | Mobily, tablety, příslušenství | GSM nabíječky;GSM nabíjačky;TV, audio a video > Mobily a tablety > GSM nabíjačky;gsm-nabijacky;7.86;1;NIZKA
IP1000-22-Plus-T;https://premiumstore.sk/menic-napeti-epever-ipower-ip1000-22-plus-t-1000w-24v#75082;Měnič napětí EPever IPower IP1000-22-Plus-T 1000W 24V;Druhy | AUTO MOTO | Karavany a obytná auta | Měniče napětí;24V;Auto-moto > Vybavenie autá > Autožiarovky > 24V;24v;7.86;1;NIZKA
IP3000-12-Plus-T;https://premiumstore.sk/menic-napeti-epever-ipower-ip3000-12-plus-t-3000w-12v-cista-sinusovka-spwm#75081;Měnič napětí EPever IPower IP3000-12-Plus-T 3000W 12V, čistá sinusovka, SPWM;Druhy | AUTO MOTO | Karavany a obytná auta | Měniče napětí;Adaptéry a meniče;TV, audio a video > Počítače a príslušenstvo > Adaptéry a meniče;adaptery-a-menice;6.88;1;NIZKA
