old_url;new_url;match_type;old_full_path;new_full_path;old_id
/tv--audio-a-video/;/prislusenstvo-k-tv--audio--video/;exact;TV, audio a video;TV, foto, audio video > Príslušenstvo;48936
/pocitace-a-notebooky/;/pocitace-mobily-a-tablety/;exact;Počítače a notebooky;Počítače, mobily a tablety;48513
/bezpecnost-a-smart-domacnost/;/elektro-smart-home-a-osvetlenie/;exact;Bezpečnosť a smart domácnosť;Elektro, Smart Home a osvetlenie;40119
/mobily--smart-hodinky-a-tablety/;/pocitace-mobily-a-tablety/;exact;Mobily, smart hodinky a tablety;Počítače, mobily a tablety;48543
/elektroinstalacny-material/;/elektro-smart-home-a-osvetlenie/;exact;Elektroinštalačný materiál;Elektro, Smart Home a osvetlenie;39717
/naradie-a-dielna/;/dielna-a-zahrada/;exact;Náradie a dielňa;Dielňa a záhrada;39762
/drony-a-rc-modely/;/cestovanie-sport-a-outdoor/;exact;Dróny a RC modely;Cestovanie, šport a outdoor;45756
/zahrada/;/dielna-a-zahrada/;exact;Záhrada;Dielňa a záhrada;39789
/sport--hracky-a-volny-cas/;/cestovanie-sport-a-outdoor/;exact;Šport, hračky a voľný čas;Cestovanie, šport a outdoor;40212
/kreativne-technologie/;/dielna-a-zahrada/;exact;Kreatívne technológie;Dielňa a záhrada;46347
/velke-spotrebice/;/domace-spotrebice/;ancestor(-1);Domáce spotrebiče > Veľké spotrebiče;Domáce spotrebiče;39426
/male-spotrebice/;/domace-spotrebice/;exact;Domáce spotrebiče > Malé spotrebiče;Domáce spotrebiče;39432
/vstavane-spotrebice/;/domace-spotrebice/;ancestor(-1);Domáce spotrebiče > Vstavané spotrebiče;Domáce spotrebiče;39546
/ostatne-spotrebice/;/domace-spotrebice/;ancestor(-1);Domáce spotrebiče > Malé spotrebiče > Ostatné spotrebiče;Domáce spotrebiče;41301
/cistenie/;/domace-spotrebice/;ancestor(-1);Domáce spotrebiče > Malé spotrebiče > Čistenie;Domáce spotrebiče;46551
/pre-dieta/;/domace-spotrebice/;ancestor(-1);Domáce spotrebiče > Malé spotrebiče > Pre dieťa;Domáce spotrebiče;46746
/mini-chladnicky/;/domace-spotrebice/;ancestor(-1);Domáce spotrebiče > Malé spotrebiče > Mini chladničky;Domáce spotrebiče;46755
/dezinfekcne-lampy/;/domace-spotrebice/;ancestor(-1);Domáce spotrebiče > Malé spotrebiče > Dezinfekčné lampy;Domáce spotrebiče;47775
/hodiny-a-budiky-3/;/domace-spotrebice/;ancestor(-1);Domáce spotrebiče > Malé spotrebiče > Hodiny a budíky;Domáce spotrebiče;47958
/plyty-gazowe/;/domace-spotrebice/;ancestor(-1);Domáce spotrebiče > Malé spotrebiče > Płyty gazowe;Domáce spotrebiče;48117
/rychlovarne-kanvice/;/priprava-napojov/;exact;Domáce spotrebiče > Malé spotrebiče > Príprava nápojov > Rýchlovarné kanvice;Domáce spotrebiče > Príprava nápojov;39438
/odstavovace/;/priprava-napojov/;exact;Domáce spotrebiče > Malé spotrebiče > Príprava nápojov > Odšťavovače;Domáce spotrebiče > Príprava nápojov;39726
/prislusenstvo-pre-filtracne-kanvice/;/priprava-napojov/;exact;Domáce spotrebiče > Malé spotrebiče > Príprava nápojov > Príslušenstvo pre filtračné kanvice;Domáce spotrebiče > Príprava nápojov;39756
/filtracne-kanvice/;/priprava-napojov/;exact;Domáce spotrebiče > Malé spotrebiče > Príprava nápojov > Filtračné kanvice;Domáce spotrebiče > Príprava nápojov;39780
/vyrobniky-ladu/;/priprava-napojov/;exact;Domáce spotrebiče > Malé spotrebiče > Príprava nápojov > Výrobníky ľadu;Domáce spotrebiče > Príprava nápojov;39945
