kod;nazov;light;light_stock;nekonecny;full_stock;dalsia_dodavka;dostupnost
008177;Nabíjačka SkyRC iMax B6AC V2;1;237;0;237;16.10.2026;Skladom
006499;Nabíjačka SkyRC iMax B6 Mini;1;234;0;234;16.10.2026;Skladom
006513;Sieťový adaptér SkyRC 15V / 4A;0;;0;0;16.10.2026;Dostupné od 16.10.2026
035831;Nabíjačka LiPo SkyRC E3;1;268;0;268;;Skladom
038858;Gyroskop pre RC modely áut SkyRC Gyro GC301;1;245;0;245;;Skladom
015548;Puzdro PGYTECH pre Ryze Tello (P-WJ-002);1;13;0;13;;Skladom
015826;Gravitačný držiak telefónu Baseus Osculum (červený);0;;0;0;;Na objednávku
015876;Gravitačné uchytenie Baseus na mriežku auta - čierna;0;;0;0;;Na objednávku
015822;Baseus Cafule USB Lightning kábel 2,4 A 1 m (čierny + červený);0;;0;0;;Na objednávku
016534;Baseus Grain nabíjačka do auta 2x USB 5V 3,1A (čierna);1;231;0;231;;Skladom
016540;Kábel Baseus Cafule Micro USB 2,4A 1 m (sivý + čierny);1;697;0;698;;Skladom
016544;Kábel Baseus Cafule Micro USB 1,5A 2 m (červený+čierny);1;282;0;282;;Skladom
016562;Baseus Yiven Lightning kábel 180 cm 2A (červený);1;239;0;239;;Skladom
018149;Baseus Pružinový kábel Lightning 1 m 2A (čierny);0;;0;0;;Na objednávku
018131;Baseus Yiven Audio kábel USB-C na mini jack 3,5 mm, 1,2 m (čierny);0;;0;0;;Na objednávku
018164;Baseus Cafule USB Lightning kábel 2,4 A 0,5 m (červený);1;638;0;638;;Skladom
018157;Baseus Cafule USB Lightning kábel 1,5 A 2 m (čierny + červený);0;;0;0;;Na objednávku
018159;Baseus Cafule USB Lightning kábel 1,5 A 2 m (sivý+čierny);1;1971;0;1971;;Skladom
018665;Selfie tyč Puluz pre športové fotoaparáty (DJI, GoPro, Insta360)(čierna);1;104;0;104;26.11.2026;Skladom
018666;Sada 53 kusov príslušenstva Puluz pre športové kamery PKT16;1;246;0;246;27.10.2026;Skladom
017838;Yeelight LED Lightstrip Extension (1 m);1;128;0;128;;Skladom
018510;Inteligentná zástrčka WiFi Gosund SP112 2xUSB, 16A, Tuya;1;769;0;769;;Skladom
018671;Čiapka Puluz s držiakom pre športovú kameru (DJI, GoPro, Insta360);1;80;0;80;27.10.2026;Skladom
018672;Náramok Puluz s nástavcom na športovú kameru (vrátane Ace Pro 2, Osmo Action 5 Pro);1;22;0;22;22.09.2026;Skladom
018681;Fotoštúdio Puluz 40 cm LED 2400 lúmenov PU5040EU;1;125;0;125;24.09.2026;Skladom
018683;Puluz 60cm LED stan bez tienidla 3380 lúmenov;1;630;0;630;;Skladom
018684;Stan Puluz 80 cm bez tieňov s LED svietidlom s výkonom 8500 lúmenov;1;133;0;133;24.09.2026;Skladom
018690;Vodotesný batoh na fotoaparát Puluz PU5011B (čierny);0;;0;0;24.09.2026;Dostupné od 24.09.2026
018715;Baseus držiak smartfónu na opierku hlavy do auta - čierny;0;;0;0;;Na objednávku
018800;Baterka Superfire F3-L2 – 570 lm, 260 m, 5 režimov, funkcia zoom;1;79;0;79;;Skladom
018788;Svetlomet Superfire HL06, 500lm, USB;1;2299;0;2299;;Skladom
018796;Čelovka Superfire X30 – 340 lm, USB, 5 režimov, 130 m;1;542;0;542;;Skladom
018791;Dielenská baterka Superfire G12, 566lm, USB;1;363;0;363;;Skladom
019094;Baseus Cafule Lightning kábel 1,5A 2 m (zlatý+tmavomodrý);1;242;0;242;;Skladom
019895;Duálna inteligentná zástrčka WiFi Gosund SP211 3500W, Tuya;0;;0;0;;Na objednávku
019498;Sada nálepiek a držiakov Puluz pre bodové kamery (vrátane Insta360 X4 / X5 / DJI Osmo Action 5 Pro);1;405;0;405;23.11.2026;Skladom
019497;Čelenka Puluz s držiakom športovej kamery (napr. Osmo Action 5 Pro, Ace Pro 2);1;292;0;292;;Skladom
019499;Držiak J-Hook Puluz pre športové kamery (DJI, GoPro, Insta360)(2x);1;140;0;140;27.10.2026;Skladom
019505;Skladacie mäkké svetlo s bleskom Puluz PU5120 20cm;1;174;0;174;;Skladom
019506;Fotoblesk Puluz 5w1 + puzdro;1;131;0;131;27.10.2026;Skladom
019507;Dvojitý ramenný popruh Puluz pre fotoaparáty PU6002;1;14;0;14;22.09.2026;Skladom
019511;LED lampa Puluz pre fotoaparát 860 lúmenov;1;90;0;90;;Skladom
019877;Kabel USB-A do Lightning MFI 0,35m PGYTECH (P-GM-115);1;5;0;5;;Skladom
019954;Príslušenstvo Puluz Ultimate Combo Kits pre športové kamery PKT18 20 v 1;1;87;0;87;22.09.2026;Skladom
019957;Sada 20 kusov príslušenstva Puluz pre športové kamery (vrátane Osmo Action 5 Pro) PKT11;1;74;0;74;22.09.2026;Skladom
020110;Baseus Cafule USB Lightning kábel 2,4A 0,5 m (červený+čierny);0;;0;0;;Na objednávku
020113;Baseus Cafule USB Lightning kábel 2,4 A 1 m (červený+čierny);1;3032;0;3033;;Skladom
020112;Baseus Cafule USB Lightning kábel 2,4 A 1 m (sivý+čierny);1;631;0;631;;Skladom
020115;Kábel Baseus Cafule USB Lightning 1,5A 2 m (červený);0;;0;0;;Na objednávku
020563;Baseus Cafule Micro USB kábel 2A 3 m (čierny+červený);0;;0;0;;Na objednávku
020305;Držiak na popruh 360° RUIGPRO pre DJI Osmo Action;0;;0;0;22.09.2026;Dostupné od 22.09.2026
020510;Nočné svetlo so senzorom Yeelight Sensor Plug-in;0;;0;0;23.10.2026;Dostupné od 23.10.2026
020718;Súprava samolepiacich držiakov pre DJI Osmo Action;0;;0;0;;Na objednávku
020935;Baseus Rainbow Circle pásky na suchý zips 3m sivá;0;;0;0;;Na objednávku
020942;Baseus Yiven Audio kábel 3,5 samec Audio M30 1,5 m strieborný + čierny;0;;0;0;;Na objednávku
020930;Baseus Privity Ring Bracket Gold;0;;0;0;;Na objednávku
021273;Baseus nabíjačka do auta s 24W displejom + kábel USB 3v1 Baseus Tri základné farby 1,2 m;0;;0;0;;Na objednávku
020292;Príslušenstvo Puluz Ultimate Combo Kits pre športové kamery (vrátane Osmo Action 5 Pro, Ace Pro 2) 43 v 1;1;65;0;65;;Skladom
17672;iPega PG-9087s wireless controller / GamePad with phone holder;0;;0;0;;Na objednávku
022727;Fotografický beztienový svetelný panel Puluz PU5138 1000LM LED;1;23;0;23;24.09.2026;Skladom
022738;Fotografické štúdio Puluz PU5030 LED 30cm;1;156;0;156;24.09.2026;Skladom
022737;Mikrofón Puluz PU425 1,5 m USB-C / Type-C;1;177;0;177;;Skladom
022735;Statívový držiak Puluz 1,1 m + 26 cm RGBW LED Ring Vlogging PKT3044;0;;0;0;;Na objednávku
022733;Hliníkový základný svetelný panel Puluz pre 60cm štúdiový stan 30W 1690LM PU5212;1;68;0;68;;Skladom
021910;Náhradné filtre + špongia + pumpička Petoneer (3 ks);1;579;0;579;16.10.2026;Skladom
023076;Nabíjačka 6x USB Blitzwolf BW-S15, QC 3.0, 60 W (biela);1;1573;0;1573;;Skladom
022609;Inteligentný spínač WiFi Sonoff Basic R2 (NOVINKA);0;;0;0;;Na objednávku
022610;Inteligentný spínač WiFi + RF 433 Sonoff RF R2 (NOVINKA);0;;0;0;23.10.2026;Dostupné od 23.10.2026
023125;Inteligentný odstraňovač zápachu Petoneer;1;104;0;104;16.10.2026;Skladom
022920;Baseus (DGRAD-0G) Komfortná mini lampa s klipom na čítanie (tmavosivá);0;;0;0;;Na objednávku
023616;Sklenený držiak do auta Puluz pre športové kamery (vrátane Osmo Action 5 Pro, Insta360 X5);1;280;0;282;27.10.2026;Skladom
023617;Držiak s klipom Puluz pre športové kamery (DJI, GoPro, Insta360) PU179;1;156;0;156;;Skladom
029749;Inteligentný WiFi RGB LED svetelný pás Gosund SL1 (2,8 m), Tuya;0;;0;0;;Na objednávku
024515;Panoramatický fotografický stojan 360 Puluz DCA0871W;1;144;0;144;23.11.2026;Skladom
023538;Inteligentný spínač WiFi SONOFF 4CHR3;1;341;0;341;23.10.2026;Skladom
023537;Inteligentný spínač WiFi SONOFF 4CHPROR3;1;1202;0;1202;23.10.2026;Skladom
023534;Inteligentný bezdrôtový dverový/okenný senzor Sonoff DW2 WiFi;1;1172;0;1172;23.10.2026;Skladom
023357;Akumulatorowa składana lampka biurkowa Yeelight Z1 Pro;1;179;0;179;;Skladom
022411;Kryt monitora diaľkového ovládača pre DJI Mavic Air 2 / DJI Mini 2;0;;0;0;;Na objednávku
023349;Organizér / držiak nabíjačky AppleWatch (čierny);1;192;0;192;;Skladom
023350;Organizér / držiak nabíjačky AppleWatch (biely);1;2;0;2;;Skladom
023494;Gravitačný držiak do auta pre telefón Baseus Tank s prísavkou (čierny);0;;0;0;;Na objednávku
023630;Mini kompresor do auta Baseus Zdroj energie;0;;0;0;;Na objednávku
024736;Kempingová lampa Superfire T20, 180lm, USB;1;257;0;257;;Skladom
024466;Vodná fontána pre domáce zvieratá Petoneer Fresco mini plus;1;129;0;129;16.10.2026;Skladom
030799;Inteligentný laser na hru psov/mačiek Petoneer Smart Dot;1;67;0;67;16.10.2026;Skladom
024159;Baseus Simple Wisdom Súprava dátového kábla USB-C na Lightning PD 20W (2 ks/sada) 1,5 m biela;0;;0;0;;Na objednávku
024468;Náhradné filtre pre Petoneer Smart Pet Fountain mini (2 kusy);1;438;0;438;16.10.2026;Skladom
024662;Inteligentný spínač WiFi Gosund SW3, Tuya;1;588;0;588;;Skladom
024664;Inteligentný WiFi RGB LED svetelný pásik NiteBird SL3 (2x5 m), Tuya;1;242;0;242;;Skladom
